text,id,all_categories,all_ate,all_polarities,data_origin,text_cleaned,all_categories_old
"Buna ziua,Din punctul meu de vedere mi-as dori ca incaltamintea pentru copii sa fie mai variata.",421342,shop diversity,mi-as dori ca incaltamintea pentru copii sa fie mai variata,Negative,manual,"Buna ziua,Din punctul meu de vedere mi-as dori ca incaltamintea pentru copii sa fie mai variata.",shop diversity
Debandada totala. În zona articolelor pentru ski rafturile aerau goale. Dezamăgitor.,421343,shop diversity; shop organization,În zona articolelor pentru ski rafturile aerau goale;Debandada totala,Negative; Negative,manual,Debandada totala. În zona articolelor pentru ski rafturile aerau goale. Dezamăgitor.,shop diversity;shop organization
"preturi cam mari pentru unele produse. dar in ansamblu, bine ca este.",421344,price,preturi cam mari pentru unele produse,Negative,manual,"preturi cam mari pentru unele produse. dar in ansamblu, bine ca este.",price
"Ar fi fost minunat dacă personalul si-ar fi făcut treaba, sa mă fi anunțat despre produsul rezervat când sosește  în magazinul lor.",421345,staff competency,"Ar fi fost minunat dacă personalul si-ar fi făcut treaba, sa mă fi anunțat despre produsul rezervat când sosește în magazinul lor.",Negative,manual,"Ar fi fost minunat dacă personalul si-ar fi făcut treaba, sa mă fi anunțat despre produsul rezervat când sosește în magazinul lor.",staff competency
"Angajatii de la casa nu stiu sa foloseasca POS-ulurile. Chiar daca au mai multe folosesc unul singur,desi le -am cerut sa foloseasca pos-ul de credit europe bank pe care il vedeam pe pult.",421346,staff competency,"Angajatii de la casa nu stiu sa foloseasca POS-ulurile. Chiar daca au mai multe folosesc unul singur,desi le -am cerut sa foloseasca pos-ul de credit europe bank pe care il vedeam pe pult.",Negative,manual,"Angajatii de la casa nu stiu sa foloseasca POS-ulurile. Chiar daca au mai multe folosesc unul singur,desi le -am cerut sa foloseasca pos-ul de credit europe bank pe care il vedeam pe pult.",staff competency
"Nu toate produsele au pretul afisat si, mai mult, la unele produse nu corespund, acestea fiind amestecate.",421348,shop organization,"Nu toate produsele au pretul afisat si, mai mult, la unele produse nu corespund, acestea fiind amestecate",Negative,manual,"Nu toate produsele au pretul afisat si, mai mult, la unele produse nu corespund, acestea fiind amestecate.",shop organization
Disputa cu personalul cu privire la cuponul de reducere primit în urma cumpărăturilor în locațiile dvs.,421349,staff competency,Disputa cu personalul cu privire la cuponul de reducere primit în urma cumpărăturilor în locațiile dvs,Negative,manual,Disputa cu personalul cu privire la cuponul de reducere primit în urma cumpărăturilor în locațiile dvs.,staff competency
"am plasat o comanda pentru un roler pe care trebuiau sa o aduca de la magazinul din Craiova. Mi s-a spus ca voi fi sunata in momentul in care soseste  produsul, maxim 5 zile. Au trecut 9 zile si inca nu m-a sunat nimeni.",421350,staff competency,"am plasat o comanda pentru un roler pe care trebuiau sa o aduca de la magazinul din Craiova. Mi s-a spus ca voi fi sunata in momentul in care soseste produsul, maxim 5 zile. Au trecut 9 zile si inca nu m-a sunat nimeni.",Negative,manual,"am plasat o comanda pentru un roler pe care trebuiau sa o aduca de la magazinul din Craiova. Mi s-a spus ca voi fi sunata in momentul in care soseste produsul, maxim 5 zile. Au trecut 9 zile si inca nu m-a sunat nimeni.",staff competency
In magazinul online din 10 produse doar unul este disponibil si numai pe o marime.,421351,tech support,In magazinul online din 10 produse doar unul este disponibil si numai pe o marime,Negative,manual,In magazinul online din 10 produse doar unul este disponibil si numai pe o marime.,tech support
sper ca acei angajati ce nu doresc sa lucreze cu publicul sa stea eventual in depozit daca sunt deranjati atunci cand li se cer detalii despre anumite produse.,421352,staff competency,sper ca acei angajati ce nu doresc sa lucreze cu publicul sa stea eventual in depozit daca sunt deranjati atunci cand li se cer detalii despre anumite produse,Negative,manual,sper ca acei angajati ce nu doresc sa lucreze cu publicul sa stea eventual in depozit daca sunt deranjati atunci cand li se cer detalii despre anumite produse.,staff competency
Din pacate nu am reusit sa gasesc produsele cautate in marimea dorita.,421353,shop diversity,Din pacate nu am reusit sa gasesc produsele cautate in marimea dorita,Negative,manual,Din pacate nu am reusit sa gasesc produsele cautate in marimea dorita.,shop diversity
"Stocuri limitate, dar de inteles intrucat magazinul Tg. jiu e mic.",421354,shop diversity,Stocuri limitate,Negative,manual,"Stocuri limitate, dar de inteles intrucat magazinul Tg. jiu e mic.",shop diversity
"Am pierdut cardul decathlon, dra de la casa mi-a dat un cod sa il refac, dar aparatura era blocata si nu a stiut numeni sa o deblocheze.",421355,staff competency; service,dra de la casa mi-a dat un cod sa il refac;aparatura era blocata;nu a stiut numeni sa o deblocheze.,Positive; Negative; Negative,manual,"Am pierdut cardul decathlon, dra de la casa mi-a dat un cod sa il refac, dar aparatura era blocata si nu a stiut numeni sa o deblocheze.",staff competency;service;staff competency
"Un pic mai diversificate produsele, totul de la firme mai (scumpe)cunoscute",421356,shop diversity,Un pic mai diversificate produsele,Negative,manual,"Un pic mai diversificate produsele, totul de la firme mai (scumpe)cunoscute",shop diversity
Diversitate din ce in ce mai redusa si calitate din ce in ce mai slaba,421357,quality; shop diversity,calitate din ce in ce mai slaba;Diversitate din ce in ce mai redusa,Negative; Negative,manual,Diversitate din ce in ce mai redusa si calitate din ce in ce mai slaba,quality;shop diversity
"Personalul de la biciclete, nu stie sa faca niste reglaje basic la bicicleta. A trebuit sa iau eu surubelnita in mana sa-mi fac reglajele cum trebuie la bicicleta ca altfel nu era in regula cum ieseam cu bicicleta.",421358,staff competency,"Personalul de la biciclete, nu stie sa faca niste reglaje basic la bicicleta",Negative,manual,"Personalul de la biciclete, nu stie sa faca niste reglaje basic la bicicleta. A trebuit sa iau eu surubelnita in mana sa-mi fac reglajele cum trebuie la bicicleta ca altfel nu era in regula cum ieseam cu bicicleta.",staff competency
Aerul conditionat nu functionează niciodată si trebuie să te fereşti tot timpul de copii care riscă să dea peste tine cu bicicleta sau trotineta.Majoritatea care vin cu copii nu cumpără nimic vin doar să se joace odraslele.,421359,environment,Aerul conditionat nu functionează niciodată si trebuie să te fereşti tot timpul de copii care riscă să dea peste tine cu bicicleta sau trotineta,Negative,manual,Aerul conditionat nu functionează niciodată si trebuie să te ferești tot timpul de copii care riscă să dea peste tine cu bicicleta sau trotineta.Majoritatea care vin cu copii nu cumpără nimic vin doar să se joace odraslele.,environment
"Umpleti spatiile goale de pe rafturi, ai impresia ca nu exista marfa..",421360,shop diversity,"Umpleti spatiile goale de pe rafturi, ai impresia ca nu exista marfa..",Negative,manual,"Umpleti spatiile goale de pe rafturi, ai impresia ca nu exista marfa..",shop diversity
"Da, cu mentiunea sa faceti curat la preturi, nu se poate sa nu fie afisate, ba mai mult vanzatorul spune un pret la casa platesti alt pret.",421361,shop organization,"Da, cu mentiunea sa faceti curat la preturi, nu se poate sa nu fie afisate, ba mai mult vanzatorul spune un pret la casa platesti alt pret.",Negative,manual,"Da, cu mentiunea sa faceti curat la preturi, nu se poate sa nu fie afisate, ba mai mult vanzatorul spune un pret la casa platesti alt pret.",shop organization
"Ar trebui sa va invatati angajatii cum decurge o procedura de comanda online, si cum sa se exprime, intrucat mi s-a spus ca o comanda anterioara a picat pe mainile cuiva caruia nu i-a pasat de comanda mea. Si nu era chiar o comanda  modesta. Ar fi putut sa nu-mi pese nici mie si sa fac reclamatie , dar pana la urma, nu era vina persoanei care m-a ajutat pana la urma. Si ar fi bine sa invete personalul si toate produsele, nu sa cer un lucru si sa imi aduca altceva de pe raion.",421362,staff competency,"Ar trebui sa va invatati angajatii cum decurge o procedura de comanda online, si cum sa se exprime, intrucat mi s-a spus ca o comanda anterioara a picat pe mainile cuiva caruia nu i-a pasat de comanda mea. Si nu era chiar o comanda modesta. Ar fi putut sa nu-mi pese nici mie si sa fac reclamatie , dar pana la urma, nu era vina persoanei care m-a ajutat pana la urma. Si ar fi bine sa invete personalul si toate produsele, nu sa cer un lucru si sa imi aduca altceva de pe raion.",Negative,manual,"Ar trebui sa va invatati angajatii cum decurge o procedura de comanda online, si cum sa se exprime, intrucat mi s-a spus ca o comanda anterioara a picat pe mainile cuiva caruia nu i-a pasat de comanda mea. Si nu era chiar o comanda modesta. Ar fi putut sa nu-mi pese nici mie si sa fac reclamatie , dar pana la urma, nu era vina persoanei care m-a ajutat pana la urma. Si ar fi bine sa invete personalul si toate produsele, nu sa cer un lucru si sa imi aduca altceva de pe raion.",staff competency
Termenul de livrare este mare iar pentru produsele ce nu sunt în stoc am fost sunat după 2 saptamani să mi spună că dacă doresc si acel proful se prelungește termenul de livrare,421363,delivery; service,Termenul de livrare este mare;pentru produsele ce nu sunt în stoc am fost sunat după 2 saptamani să mi spună că dacă doresc si acel proful se prelungește termenul de livrare,Negative; Negative,manual,Termenul de livrare este mare iar pentru produsele ce nu sunt în stoc am fost sunat după 2 saptamani să mi spună că dacă doresc si acel proful se prelungește termenul de livrare,delivery;service
"Am așteptat 15 zile o masa de tenis iar când a ajuns era distrusă din transport ,acum astept iar 3 săptămâni .Multumesc Decathlon !!!",421364,delivery,"Am așteptat 15 zile o masa de tenis iar când a ajuns era distrusă din transport ,acum astept iar 3 săptămâni .Multumesc Decathlon !!!",Negative,manual,"Am așteptat 15 zile o masa de tenis iar când a ajuns era distrusă din transport ,acum astept iar 3 săptămâni .Multumesc Decathlon !!!",delivery
Am comandat dar nu am primit comanda.Am fost sunată să mi se spună că nu voi primi comanda .,421365,delivery; staff competency,Am comandat dar nu am primit comanda;Am fost sunată să mi se spună că nu voi primi comanda,Negative; Negative,manual,Am comandat dar nu am primit comanda.Am fost sunată să mi se spună că nu voi primi comanda .,delivery;staff competency
"Buna ziua,Vreau sa va atrag atentia asupra unui aspect care trebuie neaparat imbunatatit: comanda si rezervarea articolelor care nu se afla in stocul fizic al magazinului.In data de 20 ianuarie am fost la magazinul Decathlon Berceni sa imi cumpar o geaca de schi. Modelul care mi-a placut cel mai mult nu mai avea masura M in magazinul acesta, asa ca am rugat un angajat de-al dvs. sa verifice in ce alt magazin Decathlon se mai gaseste. Am aflat ca la Pitesti mai erau 5 bucati. L-am rugat sa le ceara sa trimita o geaca la magazinul Berceni, ca nu aveam drum la Pitesti.Pana aici totul bine, a sunat la Pitesti, a vorbit cu ei, au promis ca trimit geaca. Insa mi s-a parut ca nu a stiut ce face exact, nu avea o procedura pe care o urma sau daca exista, nu a urmat-o. Si-a notat numele meu si numarul de telefon doar la insistentele mele, in telefonul lui. Deja in momentul acela aveam dubii ca am sa vad geaca vreodata, ca daca nu se stie ca e rezervat de cineva in momentul cand ajunge in magazin, ce ii opreste pe colegii lui sa nu-l puna la raft? Am revenit cu un telefon la magazin dupa o saptamana, cand mi s-a spus ca nu merge sistemul de dimineata si sa revin a doua zi. Am sunat deci ieri, 29 ianuarie. Am vorbit cu o doamna amabila care s-a oferit sa caute prin magazin geaca, deoarece in sistem nu aparea ca si rezervat. Bineinteles nu a gasit-o, nu i-a gasit nici macar urma ca ar fi fost trimisa de la Pitesti. Mi-a sugerat sa sun eu la Pitesti sa intreb daca au trimis-o, sugestie ce am respins respectuos si am rugat-o sa sune ea, deoarece ea stie numarul de telefon, ea stie numarul articolului, asadar poate sa se lamureasca mai repede. Din pacate inca nu am fost sunat inapoi de doamna respectiva, ma tem ca a abandonat.As dori sa stiu cum sa procedez data viitoare. Macar eu, clientul, sa stiu ce trebuie facut intr-un asemenea caz.",421366,staff competency; service,"Buna ziua,Vreau sa va atrag atentia asupra unui aspect care trebuie neaparat imbunatatit: comanda si rezervarea articolelor care nu se afla in stocul fizic al magazinului.In data de 20 ianuarie am fost la magazinul Decathlon Berceni sa imi cumpar o geaca de schi. Modelul care mi-a placut cel mai mult nu mai avea masura M in magazinul acesta, asa ca am rugat un angajat de-al dvs. sa verifice in ce alt magazin Decathlon se mai gaseste. Am aflat ca la Pitesti mai erau 5 bucati. L-am rugat sa le ceara sa trimita o geaca la magazinul Berceni, ca nu aveam drum la Pitesti.Pana aici totul bine, a sunat la Pitesti, a vorbit cu ei, au promis ca trimit geaca. Insa mi s-a parut ca nu a stiut ce face exact, nu avea o procedura pe care o urma sau daca exista, nu a urmat-o. Si-a notat numele meu si numarul de telefon doar la insistentele mele, in telefonul lui. Deja in momentul acela aveam dubii ca am sa vad geaca vreodata, ca daca nu se stie ca e rezervat de cineva in momentul cand ajunge in magazin, ce ii opreste pe colegii lui sa nu-l puna la raft? Am revenit cu un telefon la magazin dupa o saptamana, cand mi s-a spus ca nu merge sistemul de dimineata si sa revin a doua zi. Am sunat deci ieri, 29 ianuarie. Am vorbit cu o doamna amabila care s-a oferit sa caute prin magazin geaca, deoarece in sistem nu aparea ca si rezervat. Bineinteles nu a gasit-o, nu i-a gasit nici macar urma ca ar fi fost trimisa de la Pitesti. Mi-a sugerat sa sun eu la Pitesti sa intreb daca au trimis-o, sugestie ce am respins respectuos si am rugat-o sa sune ea, deoarece ea stie numarul de telefon, ea stie numarul articolului, asadar poate sa se lamureasca mai repede. Din pacate inca nu am fost sunat inapoi de doamna respectiva, ma tem ca a abandonat.As dori sa stiu cum sa procedez data viitoare. Macar eu, clientul, sa stiu ce trebuie facut intr-un asemenea caz.;Din pacate inca nu am fost sunat inapoi de doamna respectiva, ma tem ca a abandonat.;Buna ziua,Vreau sa va atrag atentia asupra unui aspect care trebuie neaparat imbunatatit: comanda si rezervarea articolelor care nu se afla in stocul fizic al magazinului.In data de 20 ianuarie am fost la magazinul Decathlon Berceni sa imi cumpar o geaca de schi. Modelul care mi-a placut cel mai mult nu mai avea masura M in magazinul acesta, asa ca am rugat un angajat de-al dvs. sa verifice in ce alt magazin Decathlon se mai gaseste. Am aflat ca la Pitesti mai erau 5 bucati. L-am rugat sa le ceara sa trimita o geaca la magazinul Berceni, ca nu aveam drum la Pitesti.Pana aici totul bine, a sunat la Pitesti, a vorbit cu ei, au promis ca trimit geaca. Insa mi s-a parut ca nu a stiut ce face exact, nu avea o procedura pe care o urma sau daca exista, nu a urmat-o. Si-a notat numele meu si numarul de telefon doar la insistentele mele, in telefonul lui. Deja in momentul acela aveam dubii ca am sa vad geaca vreodata, ca daca nu se stie ca e rezervat de cineva in momentul cand ajunge in magazin, ce ii opreste pe colegii lui sa nu-l puna la raft? Am revenit cu un telefon la magazin dupa o saptamana, cand mi s-a spus ca nu merge sistemul de dimineata si sa revin a doua zi. Am sunat deci ieri, 29 ianuarie. Am vorbit cu o doamna amabila care s-a oferit sa caute prin magazin geaca, deoarece in sistem nu aparea ca si rezervat. Bineinteles nu a gasit-o, nu i-a gasit nici macar urma ca ar fi fost trimisa de la Pitesti. Mi-a sugerat sa sun eu la Pitesti sa intreb daca au trimis-o, sugestie ce am respins respectuos si am rugat-o sa sune ea, deoarece ea stie numarul de telefon, ea stie numarul articolului, asadar poate sa se lamureasca mai repede. Din pacate inca nu am fost sunat inapoi de doamna respectiva, ma tem ca a abandonat.As dori sa stiu cum sa procedez data viitoare. Macar eu, clientul, sa stiu ce trebuie facut intr-un asemenea caz.",Positive; Negative; Negative,manual,"Buna ziua,Vreau sa va atrag atentia asupra unui aspect care trebuie neaparat imbunatatit: comanda si rezervarea articolelor care nu se afla in stocul fizic al magazinului.In data de 20 ianuarie am fost la magazinul Decathlon Berceni sa imi cumpar o geaca de schi. Modelul care mi-a placut cel mai mult nu mai avea masura M in magazinul acesta, asa ca am rugat un angajat de-al dvs. sa verifice in ce alt magazin Decathlon se mai gaseste. Am aflat ca la Pitesti mai erau 5 bucati. L-am rugat sa le ceara sa trimita o geaca la magazinul Berceni, ca nu aveam drum la Pitesti.Pana aici totul bine, a sunat la Pitesti, a vorbit cu ei, au promis ca trimit geaca. Insa mi s-a parut ca nu a stiut ce face exact, nu avea o procedura pe care o urma sau daca exista, nu a urmat-o. Si-a notat numele meu si numarul de telefon doar la insistentele mele, in telefonul lui. Deja in momentul acela aveam dubii ca am sa vad geaca vreodata, ca daca nu se stie ca e rezervat de cineva in momentul cand ajunge in magazin, ce ii opreste pe colegii lui sa nu-l puna la raft? Am revenit cu un telefon la magazin dupa o saptamana, cand mi s-a spus ca nu merge sistemul de dimineata si sa revin a doua zi. Am sunat deci ieri, 29 ianuarie. Am vorbit cu o doamna amabila care s-a oferit sa caute prin magazin geaca, deoarece in sistem nu aparea ca si rezervat. Bineinteles nu a gasit-o, nu i-a gasit nici macar urma ca ar fi fost trimisa de la Pitesti. Mi-a sugerat sa sun eu la Pitesti sa intreb daca au trimis-o, sugestie ce am respins respectuos si am rugat-o sa sune ea, deoarece ea stie numarul de telefon, ea stie numarul articolului, asadar poate sa se lamureasca mai repede. Din pacate inca nu am fost sunat inapoi de doamna respectiva, ma tem ca a abandonat.As dori sa stiu cum sa procedez data viitoare. Macar eu, clientul, sa stiu ce trebuie facut intr-un asemenea caz.",staff competency;staff competency;service
"Am facut comanda pentru alta pereche. Sper ca cei care vor veni, destul de tarziu, comanda data pe data de 15 iunie, acum fiind in 7 iulie, sa fie mai rezistenti.",421367,delivery,"Sper ca cei care vor veni, destul de tarziu",Negative,manual,"Am facut comanda pentru alta pereche. Sper ca cei care vor veni, destul de tarziu, comanda data pe data de 15 iunie, acum fiind in 7 iulie, sa fie mai rezistenti.",delivery
"Din păcate apa a pătruns in scutec in primele minute de cand copilul a intrat in piscina,deci nu este impermeabil.",421368,product,"Din păcate apa a pătruns in scutec in primele minute de cand copilul a intrat in piscina,deci nu este impermeabil",Negative,manual,"Din păcate apa a pătruns in scutec in primele minute de cand copilul a intrat in piscina,deci nu este impermeabil.",product
"Ma numesc Gabriel Lungu sin constanta si vreau sa va relatez ce mi sa intamplat la magazinul Decatolon Constanta.Nu am gasit la raft Trening Fitness Davivo Alb/Bleu Bărbaţi ADIDAS XXL (Ref.: 8352571 ), , i-am intrebat pe vanzatori daca au aceasta marime si mi-au spus ca in acte figureaza ca ar fi 2 bucati, dar fizic nu sunt si imi vor face comanda. Mi-au notat numele si numarul de telefon si mi-au spus ca intre 3- 10 zile voi primi pachetul, asta se intampla pe data de 05.05.2016. In speranta ca poate vine mai repede , am trecut pe la magazin si cand au verficat existau 3 buc. in stoc , dar fizic nu erau.. Mi-au promis ca luni 16.05 voi avea un raspuns. Nimic.",421369,shop diversity; staff competency,"Nu am gasit la raft Trening Fitness Davivo Alb/Bleu Bărbaţi ADIDAS XXL;i-am intrebat pe vanzatori daca au aceasta marime si mi-au spus ca in acte figureaza ca ar fi 2 bucati, dar fizic nu sunt si imi vor face comanda. Mi-au notat numele si numarul de telefon si mi-au spus ca intre 3- 10 zile voi primi pachetul, asta se intampla pe data de 05.05.2016. In speranta ca poate vine mai repede , am trecut pe la magazin si cand au verficat existau 3 buc. in stoc , dar fizic nu erau.. Mi-au promis ca luni 16.05 voi avea un raspuns. Nimic.",Negative; Negative,manual,"Ma numesc Gabriel Lungu sin constanta si vreau sa va relatez ce mi sa intamplat la magazinul Decatolon Constanta.Nu am gasit la raft Trening Fitness Davivo Alb/Bleu Bărbați ADIDAS XXL (Ref.: 8352571 ), , i-am intrebat pe vanzatori daca au aceasta marime si mi-au spus ca in acte figureaza ca ar fi 2 bucati, dar fizic nu sunt si imi vor face comanda. Mi-au notat numele si numarul de telefon si mi-au spus ca intre 3- 10 zile voi primi pachetul, asta se intampla pe data de 05.05.2016. In speranta ca poate vine mai repede , am trecut pe la magazin si cand au verficat existau 3 buc. in stoc , dar fizic nu erau.. Mi-au promis ca luni 16.05 voi avea un raspuns. Nimic.",shop diversity;staff competency
Actualizarea pretului la casa de marcat cu cel de la raft.,421370,shop organization,Actualizarea pretului la casa de marcat cu cel de la raft,Negative,manual,Actualizarea pretului la casa de marcat cu cel de la raft.,shop organization
