id,absa_input,absa_target,data_origin
431560,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: in moment in care strang siretul, in loc sa imi tina strans, materialul se lasa.un pic cam lat pentru patine artistice. </s>",product is negative,manual
431561,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Recomand personal disponibil la fiecare raion, nu mi s-a parut ok sa ma invart in tot magazinul sa gasesc o palarie de soare care de fapt nici nu exista...avand in vedere ca sezonul estival e de abia la inceput va rog sa variati produsele pt plaja, soare samd </s>",staff availability is negative; shop diversity is negative,manual
431562,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Am cumparat o bicicleta pliabila, sunt nemultumit deoarece nu este posibil sa cumperi o bicicleta la """"cutie"""", am fost nevoit sa cumpar una pe care au incercato si au calarito poate sute de cumparatori, ar trebui sa aveti una sau doua pt. mostra si incercari, iar clientul sa primeasca una """"sigilata"""". </s>",shop organization is negative,manual
431563,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Lipsa produse la raft conform etichetei, lipsa personal consiliere biciclete. </s>",staff availability is negative; shop organization is negative,manual
431564,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Nu sunt produse diversificata pentru bărbați la îmbrăcăminte sport. Pentru copii si femei aveți mult mai multe produse. De ex: set trening Domyos pentru femei si copii aveți pe mai multe nuanțe, pentru bărbați nu aveți deloc set trening. La multe produse preturile nu sunt afișate deși se învârt o droaie de angajați prin magazin. </s>",shop diversity is negative; shop organization is negative; staff competency is negative,manual
431565,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Diversitate a produselor scazuta in magazinul Sibiu comparativ cu alte magazine Decathlon din tara. </s>,shop diversity is negative,manual
431566,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: -majoritatea pantofilor/adidasilor pentru copii (cele folosite la scoala, de ex) sunt din inlocuitor de piele si au o calitate indoielnica.-magazinul este alambicat, nu sunt toate produsele de același fel, in acelasi loc. te plimbi pana te plictisesti sa </s>",shop organization is negative; quality is negative,manual
431567,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Din pacate am fost dezamagiti de haosul din magazin. Erau copii cu biciclete, trotinete si tot felul de alte produse de gen, pe care trebuia sa ii feresti tu pentru ca altfel iti intrau in picioare. Parintii nu erau deloc prezenti. La raft, personalul nu mai facea fata sa puna la loc produsele pe care copii le aruncasera pe jos, desfacute. In anumite zone, a fost greu sa gasim un produs intact astfel incat sa vedem ce vrem sa cumparam. </s>",environment is negative; staff competency is negative,manual
431568,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Montarea schimbătorului a fost făcută de o persoana care nu a fost pregătită necesar. </s>,staff competency is negative,manual
431569,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Produsul se manevreaza usor, dar are o usoara vibratie in maner.datorita fixarii rapide.Pliabila si usor de transportat. </s>",product is positive,manual
431570,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Am vrut sa achizitionez trotineta , dupa ce am citit pe site la descriere ca se poate folosi de copii ce au inaltime intre 1.45 si 1.85 m. Cand am sunat la magazinul sa o rezer, am mai intrebat inca o data daca se respecta caracteristicile de pe site, au spus ca da.Ajugand la magazin am constata cu stupoare ca aveau alte caracteristici , acest tip de trotineta merege folosita de copii ce au pana in 1.45 m.Imi pare rau sa constat ca ce este scris pe site nu coincide cu ce este in magazin. </s>",shop organization is negative; staff competency is negative,manual
431571,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Stat la casa mult sa vina un angajat de afara de la fumat.venit doi angajati la incasat insa se fastaceau p acolo.aruncat produsele si iesit din magazin.m au facut la psihic </s>,staff availability is negative; staff competency is negative,manual
431572,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Doua produse identice marimea L cumparate pe data de 12-10-2017.Imposibil de imbracat datorita unui defect de fabricatie, respectiv circumferinta la guler este de 46 cm. si nu este elastic. </s>",product is negative,manual
431573,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: In descrierea acesteia, ca justificare pentru pretul ridicat sunt trecute un nr de gauri pentru aerisire ce te va ajuta sa nu transpiri abundent. In realitate si cu aceasta si cea standard ce este la jumatate din Pret transpiri la fel ! </s>",product is negative; price is negative,manual
431574,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Găsiți o soluție pentru încasările din weekend. Oferiți ceva clienților cât timp așteaptă sa plătească. </s>,misc is neutral,manual
431575,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Probabil am fost dezamagit si ca nu am gasit nici un numar potrivit la produsele pe care le-am probat, si ca era destul de mare galagie facuta de copiii care alergau si se jucau prin magazin fara sa fi fost atentionati </s>",environment is negative; shop diversity is negative,manual
431576,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Buna ziua. Am ajuns ieri 31.08.17 in magazinul din Brasov pentru a achizitiona o cutie de izotonic praf marca Isostar brusc costa 50 de lei cel putin acesta era pretul afisat la raft. Sunt destul de nemultumit de aceasat scump[ire avand in vedere ca acum cateva luni costa 35 de lei fara reduceri. Evident ca pe situl dvs. apar ambele produse dar in magazin nu... ca de obicei. </s>,price is negative; shop organization is negative,manual
431577,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Sunt sub orice critica.Am achizitionat o bicicleta de apartament iar la montare am avut surpriza ca o pedala sa nu se insurubeze in ax decat la jumatate dupa care sa se blocheze.Am apelat la serviciile atelierului.Am vorbit nu stiu cu cine care la inceput mia recomandat sa aduc bicicleta la ei. I-am replicat ca are 25 kg si nu pot sa o aduc, fiind in garantie nu sunjt dispus la alta cheltuiala.Raspunsul ? nu are ca sa faca ca nu au serviciu de reparatii acasa.(daca era o banda de alergat tot clientul trebuia sa se ocupe de transport, sa o lege cu sfoara si sa o traga pana la magazin ?).A trebuit sa amenint cu reclamatia mai departe ca sa vina cu propunerea sa trimita ei un curier care sa ridice bicicleta.Asta se intampla acum opt zile. Sa mai sper ca vor rezolva problema? cred ca sunt depasiti, asa ca am sa merg la OPC sa vad ce spun ei, iar intre timp am sa incerc cu forte proprii sa rezolv problema.Feriti-va de Dechatlon </s>",product is negative; service is negative; staff competency is negative,manual
431578,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Am fost cu ea la reglat de 3 ori și schimbătorul nu tine mai mult de o săptămâna și se dereglează, lanțul huruie </s>",product is negative; quality is negative,manual
431579,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: As dori sa stiu daca exista un system buy-back la bicicletele micute de copii pentru ca fetita mea cea mica ar fi vrut o bicicleta noua in locul celei pe care a """"mostenit-o"""" de la sora ei mai mare. </s>",misc is neutral,manual
431580,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Bicicleta comandata a venit câteva zile mai tarziu, nu m-a deranjat întârzierea, dar cand au montat-o au prins ceva gresit la ghidon, pentru ca acasa s-a desfăcut imediat, si am căutat mult timp un imbus potrivit.De atunci s-a mai desfăcut de 2 ori.Sarisfactia băiatului meu a fost zero cand a rămas cu ghidonul in mâna.Știți cât de greu se manevrează o bicicleta cu ghidonul nestrans?... </s>",delivery is negative; service is negative; staff competency is negative,manual
431581,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: După o tură de o zi la munte mi s-a înroșit piciorul (pătat ) în locul unde strânge elasticul pe gama </s>,product is negative,manual
431582,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Timp de livrare destul de lung (mai lung decât la alte magazine on-line).Apreciez solicitudinea personalului din magazin. </s>,staff competency is positive; delivery is negative,manual
431583,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Nu am gasit decat un singur fel de becuri pentru biciclete, care erau foarte mici. </s>",shop diversity is negative,manual
431584,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: De data aceasta, persoana de la casierie era mai puțin ocupată cu amabilitatea față de clientul care efectua plata produselor achiziționate (respectiv eu, împreună cu familia mea) și ”mai mult ocupată” cu discuția cu o cunoștință sau colegă de servici, aflată în tura ei liberă. Amabilitatea casierei a fost (repet: de data aceasta!) sub ”standardele ridicate” ale celorlalți angajați ai magazinului, pe care le-am constatat aproape de fiecare dată când am vizitat magazinul Decathlon Suceava. </s>",staff competency is negative,manual
431585,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Jacheta arata bine, nu contest. Numai ca rezistenta de 5000 mm la apa este prea putin. Dar nu asta a fost motiul pentru care am facut retur.In momentul cand stratul termic este dat jos, si ramanem doar cu stratul exterior, pe interiorul manecilor vor atarna cate doua prinderi(prinderile pentru fixarea stratului termic pe jacheta). Aceste prinderi sunt atat de lungi incat ajungi sa le tii in palma. Cred ca ar fi fost util sa exista niste gaici pe interiorul captuselii, pe care acele prinderi sa fie fixate si sa nu mai atarne. </s>",product is positive,manual
431586,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Este pacat ca munca angajatilor seriosi si profesionisti este umbrita de superficialitatea personalului care cauta in depozit produsele pe care le-ai comandat. Si iti spun cu seninatate sa mai comanzi inca o data acelasi produs in loc sa il caute cu atentie in depozit. </s>,staff competency is negative,manual
431587,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Mai bună organizare.Produse dezordonate pe rafturi , fără pret, unele rafturi goale. </s>",shop diversity is negative; shop organization is negative,manual
431588,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Magazinul si angajatii sint ok. Unele produse nu au pretul afisat . Dupa prima sesiune de cumparaturi la care am prezentat cardul dechatlon nu am primit punctele ...inca (sper sa fie o greseala ). </s>,shop organization is negative; staff competency is positive; service is negative,manual
431589,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: O minge ieftina, buna pentru initiere in baschet. Buna pentru activitati ocazionale.Pentru antrenamente recomand cevamai scump. </s>",price is positive; product is positive,manual
431590,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: 1. Mai multe produse pentru copii.La un moment dat erau f. multe produse pt. copii si era ok.2. Agentii de securitate sa nu mai intre peste clienti in cabinele de proba, in timp ce acestia probeaza diferite produse.Mentionez ca au intrat in toate cabinele care erau ocupate la acel moment, fara a tine cont de sexul care ocupa cabina in acel moment. Daca asta este o procedura a magazinului, ar trebui informat clientul la intrarea in magazin. </s>",shop diversity is negative; security is negative,manual
431591,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: poate daca am reduce timpul petrecut la casa de marcat.....ar fi imbucuratorde asemenea cunostiintele jalnice in materie de echipament sportiv ale angajatiilor....trbuiesc aduse la zi!!!! </s>,service is negative; staff competency is negative,manual
431592,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Per total comanda a fost ok.Papucii comandati 41-42 mi-au fost livrati 40-41, fara sa fiu anuntata inainte de acest lucru :( </s>",delivery is positive; staff competency is negative,manual
431593,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Ar trebui aduse si unele produse din vârful de gamă , pentru fiecare ramură sportivă </s>",shop diversity is negative,manual
431594,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: O sa ma duc astazi la magazinul dumneavoastra cu acest produs pe care l-am achizitionat acum aproape 2 ani, fiind in garantie sunt foarte curios de parerea specialistilor dumneavoastra referitor la ce se refera garantia, are captuseala rupta in mai multe locuri in interior, plus si pe afara, in fata nde se indoaie piciorul materialul este deteriorat. Altfel este un produs relativ in regula si comod, vom vedea parerea specialistilor de la magazin </s>",product is positive; quality is negative,manual
431595,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Marfa imprastiata peste tot. Aspect general neingrijit si multa mizerie, atat pe culoarele dintre raioane, cat mai ales in cabinele de proba. </s>",environment is negative; shop organization is negative,manual
431596,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: orientarea este dificila, senzatie neplacuta de a nu gasi ceea ce cauti. </s>",shop organization is negative,manual
431597,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Nu am fost anunțat că respectivul produs nu se află pe stoc și că o să întîrzie comanda </s>,staff competency is negative,manual
431598,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Am facut o rezervare, iar produsele numai erau. Am ajuns in timp util, nu am intarziat pt termenul de ridicare declarat, dar in final cineva din personalul dvs. a gasit produsele de care aveam nevoie. </s>",service is negative; staff competency is positive,manual
431599,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Am fost neplacut impresionata de faptul ca nu exista pe stoc marimi, produsele pentru copii sunt imprastiate, nu se mai stie unde sunt pantofii, sandalele, etc...La fel si hainele si accesoriile pentru cycling, am intrebat un angajat unde s-au mutat, mi-a indicat zona bicicletelor, si de fapt acolo erau doar cele pentru barbati, pentru femei fiind in capatul opus al magazinului... </s>",shop organization is negative; shop diversity is negative; staff competency is negative,manual
431600,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: O pereche de shiuri pe care am dus-o pentru reparat talpa, ascutit canturi, ceruit, mi-a fost returnata fara a fi fost remediate zgarieturile, doar acoperite partial cu ceara. </s>",service is negative,manual
431601,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: parerea mea este ca marimea S este mai degraba un M :( </s>,product is negative,manual
431602,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Nu am găsit ce căutam deși pe site era trecut pe stoc.Greu sau imposibil de găsit prețul și informațiile la anumite produse. </s>,shop organization is negative,manual
431603,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: In timpul cat am returnat o trotineta, un angajat Decathlon a luat sticla de apa a copiilor mei care se jucau la saltea si ne-a lasat pe uscat. </s>",staff competency is negative,manual
431604,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Calitatea serviciilor oferite la Atelier este foarte slaba.Pe partea service biciclete nu exista personal instruit si pregatit. </s>,service is negative; staff competency is negative,manual
431605,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Produsele cumparate sunt scanate la casa, apoi operatorul de la casa își pierde orice interes pentru împachetarea produselor, dacă nu achiziționezi și o plasa. Sunt lăsate pur și simplu pe banda și se trece la următorul client. </s>",staff competency is negative,manual
431606,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Comanda nu era gata la ora stabilita, lipseau medalii si snururi, stikurile nu erau lipite pe medalii si cupe am stat aproape o ora si am plecat cu lipsuri la comnda. </s>",service is negative; staff competency is negative,manual
431607,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: nu am gasit din prima la raftul de femei colantii termo pe care ii cautam. am luat de la barbati, dar apoi am gasit ce cautam.si nu am gasit masura pe care o cautam la pantalonii modulari. ulterior solicitarii mele de verificare a disponibilitatii s-a modificat si pe site faptul ca nu mai existau.la fel am patit si asta vara la bucuresti cand produsul cautat era trecut ca disponibil, dar nu mai era la raftsi ar fi bine sa semnalizati la capetele randurilor sporturile carora se adreseaza echipamentele si nu doar in interiorul randului respectiv. </s>",shop organization is negative,manual
431608,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Personalul neatent ca la coada erau 4 persoane iar personal 3 la casa si numai una ne-a incasat bani restul foarte plictoisit..uni plecau la masa,altulnu avea chef..etc </s>",staff competency is negative,manual
431609,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Purtati 4-5 ore in week-end cu sosete artengo transpira si aluneca pe suprafete umede ....iarba cu roua....pamant umed.... </s>,product is negative,manual
431610,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Colegului vostru inalt cu ochelari cred ca ii place sa se auda vorbind. Am avut doar intentia de a merge la dansul sa-mi incaseze produsele, parea ca nu face nimic la casa si mi-a trasmis foarte autoritar """"coada nu este aici, este mai in spate"""". Daca viitoare nu voi mai veni. </s>",staff competency is negative,manual
431611,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Nu imi place faptul ca desi exista multe case sunt maxim 2 deschise, cateodata ne grabim si e neplacuta situatia. </s>",service is negative,manual
431612,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Dpdv al disponibilitatii produselor...sunteti praf. Site-ul nu este actualizat. Sunt dezamagit la maxim :( :( :( </s>,shop diversity is negative; shop organization is negative,manual
431613,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Cum iti dai seama ca e incarcat? Un led rosu lateral se aprinde intermitent dar e asa de ~12 ore. </s>,product is negative,manual
431614,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Treninguri de o varietate redusa, cele de firma foarte scumpe. Nu gasesc manusi de portar cu protectie degete antirasucire. </s>",shop diversity is negative; price is negative,manual
431615,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: initial am fost incantat de ei pt ca nu luau apa si nu transpiram. In schimb talpa foarte alunecoasa, mai ales pe zapada uda...Acum nu mai sunt pentru ca au aparut fisuri pe toata portiunea neagra din varfuri, in special la cutele de mers si la lipeala cu talpa, pe unde se vede un material alb si pe unde intra apa.Acum am vazut ca au garantie 2 ani asa ca voi merge sa vad ce rezolv... </s>",product is positive; quality is negative,manual
431616,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Rafturi goale, nu erau reduceri nici la produsele de extrasezon la care mai erau cateva produse, de obicei numere mici. </s>",promotions is negative; shop diversity is negative,manual
431617,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Nu sunt preturi pe toate produsele și la fiecare raion dacă vrei sa afli un preț trebuie sa cauți un agent de vânzări. </s>,shop organization is negative,manual
431618,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: NU recomand. Provoaca rani dupa dar cateva ore de folosire </s>,product is negative,manual
431619,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Magazinul este mare, dar este si foarte aglomerat,fiind foarte mare durata de așteptare la case </s>",environment is negative; service is negative; shop organization is positive,manual
431620,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Buna ziua, Sunt dezamagit de comanda ATPUDWKHP , care nu mai soseste. Am fost de doua ori la Decathlon Ploiesti sa aflu ce s-a intamplat cu aceasta comanda(20.04.2016) si nici pana acum nu s-a solutionat. Personalul de la Ploiesti a incercat sa rezolve dar problema e la centru.... Probabil nu o sa mai comand online, desi asa pot comanda mai multe produse. Acum doua luni am incercat sa comand un cutit de vanatoare, dar din nou..... </s>",delivery is negative; staff competency is positive,manual
431621,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Cred ca angajatul a facut ceva pe la bicicletele lasate la atelier, cu toate astea, cel putin pentru partea de ungere nu s-a vazut nimic. </s>",staff competency is negative,manual
431622,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: am cumparat 2 perechi la interval de 6 luni.Pro: comoziContra: Ambele perechi s-au decolorat destul de rau si destul de repede. </s>,product is positive; quality is negative,manual
431623,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Din pacate, din cauza unui abtipild de pe interiorul ochelarilor (f.bine lipit), am zgariat ochelarii. Dupa indepartarea acestuia a ramas lipici pe contur ce nu poate fi indepartat.Imi schimbati produsul? </s>",product is negative,manual
431624,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Am cumparat pe data de 06 10 2016 o pereche manusi de schi pentru copii si angajatii dumneavoastr mi-au schimbat o manusa si acum sunt fericitul posesor a doua manusi de dreapta cu marimi diferite va multumesc . </s>,shop organization is negative; staff competency is negative,manual
431625,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Buna ziua,- Am avut o comanda onlne cu ridicare din magazin pentru care am dorit sa fac un retur- Sistemul nu permitea lucratirului de la casa sa faca operatiunea necesara , motiv pentru care s-a format coada la casa, coada ce a trebuit mutata la o alta casa.- s-au dat telefoane peste telefoane, pentru a gasi o solutie pentru rezolvarea problemei- Toate aceste lucruri au durat , motiv pentru care am pierdut timp in magazin, in situatia in care in alte parti, un retur dureaza 2 minute...- Din acest motiv, nu pot spune ca vizita a fost una satisfacatoare. </s>",return warranty is negative; service is negative; staff competency is negative; tech support is negative,manual
431626,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Buretele este in exces, iar carcasa din plastic este flexibila. Din aceste motive, cutia nu se inchide bine cu o carabina inauntru, ramanand spatii pe lateral, intre balamale si inchizatori. La pretul asta putea sa vina cu o solutie modulara pentru compartimentarea buretelui sau cu o unealta pentru decuparea excesului de burete.Pe suprafetele laterale apar niste bavuri transversale, fine, lungi si inestetice, imposibil de slefuit, intrucat suprafata cutiei este texturata. Aceste urme de turnare dau un aspect urat, cutia parand a fi reparata artizanal, prin lipirea la un capat a unei bucati din alta cutie.Decat sa smulg bucati de burete si sa lipesc autocolante pe margini, mai bine imi confectionam una din tabla ori placaj. Sau cumparam alta... </s>",product is negative,manual
431627,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Problemele la camera de aer din mijloc nu s-au remediat. La a treia utilizare s-a delipit peretele dintre camere si apare o umflatura mare care afecteaza directia si siguranta. Acesta problema se rezolva in garantie dar scade increderea in produs. Designul e bun dar executia lasa de dorit. </s>,product is negative; quality is negative,manual
431628,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Bicicleta a venit dupa 8 zile , a fost si in statusul de reglare , reglajele sunt mediocre (frana de spate este prea stransa si nu lasa roata sa se invarta liber iar la cea de fata sabotul atinge in cauciuc la fel roata nu se invarte liber) ceea ce e destul de important mai ales cand e vb de un copil. In rest nimic de comentat, bbicicleta arata f bine, este impachetata in ditamai cutia si este protejata bine pentru transport. </s>",product is positive; service is negative; staff competency is negative,manual
431629,"Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Am comandat o bicicleta pt copii Btwin Runride 520 fara pedale si am primit-o cu o piesa de imbinare prinsa in alt loc decat acolo unde trebuia sa fie fixata, adica pe bara cu roata din fata, dar trebuia pe bara cu ghidonul, iar pb a fost ca avea surubul strans care mergea in gol si care ar trebui schimbat, a fost mai dificil dar cu un cleste care sa tina contra, doi oameni, am reusit. Initial am vrut sa trimit inapoi bicicleta sa o schimbati, dar asta e. Am incercat sa va sun, dar am asteptat 20 min sa raspunda un operator de la magazinul online decathlon si am renuntat. Pacat ca s-a intamplat sa fie o pb cu surubul si cu piesa de imbinare, pt ca bicicleta e foarte buna si e pe placul baietelului meu. Suntem multumiti de bicicleta. </s>",product is positive; service is negative; staff competency is negative,manual
