text,id,aspects_polarities,annotator,data_origin,text_cleaned,absa_input,absa_target,cmlm_text
"In descrierea acesteia, ca justificare pentru pretul ridicat sunt trecute un nr de gauri pentru aerisire ce te va ajuta sa nu transpiri abundent. In realitate si cu aceasta si cea standard ce este la jumatate din  Pret transpiri la fel !",431573,"{'choices': ['product - negative', 'price - negative']}",22,manual,"In descrierea acesteia, ca justificare pentru pretul ridicat sunt trecute un nr de gauri pentru aerisire ce te va ajuta sa nu transpiri abundent. In realitate si cu aceasta si cea standard ce este la jumatate din Pret transpiri la fel !","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: In descrierea acesteia, ca justificare pentru pretul ridicat sunt trecute un nr de gauri pentru aerisire ce te va ajuta sa nu transpiri abundent. In realitate si cu aceasta si cea standard ce este la jumatate din Pret transpiri la fel ! </s>",product is negative; price is negative,". in cazul aceste., ca si pentru picioa, sunt doar un fel de crema pentru piele ce te va ajuta sa nu transpiri deloc. in realitate si cu aceasta si cea pentru ce este la jumatae din pret este la fel!"
Găsiți o soluție pentru încasările din weekend. Oferiți ceva clienților cât timp așteaptă sa plătească.,431574,misc - neutral,22,manual,Găsiți o soluție pentru încasările din weekend. Oferiți ceva clienților cât timp așteaptă sa plătească.,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Găsiți o soluție pentru încasările din weekend. Oferiți ceva clienților cât timp așteaptă sa plătească. </s>,misc is neutral,. găsiți o ofertă pentru masa din weekend. oferiți ceva clienților cât timp așteaptă sa plătească.
"Probabil am fost dezamagit si ca nu am gasit nici un numar potrivit la produsele pe care le-am probat, si ca era destul de mare galagie facuta de copiii care alergau si se jucau prin magazin fara sa fi fost atentionati",431575,"{'choices': ['environment - negative', 'shop diversity - negative']}",22,manual,"Probabil am fost dezamagit si ca nu am gasit nici un numar potrivit la produsele pe care le-am probat, si ca era destul de mare galagie facuta de copiii care alergau si se jucau prin magazin fara sa fi fost atentionati","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Probabil am fost dezamagit si ca nu am gasit nici un numar potrivit la produsele pe care le-am probat, si ca era destul de mare galagie facuta de copiii care alergau si se jucau prin magazin fara sa fi fost atentionati </s>",environment is negative; shop diversity is negative,". probabil am fost nervos si ca nu am gasit nici un raspuns la cele pe care le - am probat, si ca era destul de mare numarul de oameni care alergau si se jucau prin ele fara sa fi fost acolo"
Buna ziua. Am ajuns ieri 31.08.17 in magazinul din Brasov pentru a achizitiona o cutie de izotonic praf marca Isostar brusc costa 50 de lei cel putin acesta era pretul afisat la raft. Sunt destul de nemultumit de aceasat scump[ire avand in vedere ca acum cateva luni costa 35 de lei fara reduceri. Evident ca pe situl dvs. apar ambele produse dar in magazin nu... ca de obicei.,431576,"{'choices': ['price - negative', 'shop organization - negative']}",22,manual,Buna ziua. Am ajuns ieri 31.08.17 in magazinul din Brasov pentru a achizitiona o cutie de izotonic praf marca Isostar brusc costa 50 de lei cel putin acesta era pretul afisat la raft. Sunt destul de nemultumit de aceasat scump[ire avand in vedere ca acum cateva luni costa 35 de lei fara reduceri. Evident ca pe situl dvs. apar ambele produse dar in magazin nu... ca de obicei.,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Buna ziua. Am ajuns ieri 31.08.17 in magazinul din Brasov pentru a achizitiona o cutie de izotonic praf marca Isostar brusc costa 50 de lei cel putin acesta era pretul afisat la raft. Sunt destul de nemultumit de aceasat scump[ire avand in vedere ca acum cateva luni costa 35 de lei fara reduceri. Evident ca pe situl dvs. apar ambele produse dar in magazin nu... ca de obicei. </s>,price is negative; shop organization is negative,. buna ziua. am ajuns ieri 31. 08. 17 in piata din brasov pentru a lua o sticla de isoe. isostar si costa 50 de lei cel putin acesta era pretul afisat la raft. sunt destul de nemultumit de acea? for [ ire avand in vedere ca acum isostar costa 35 de lei fara tva. evident ca pe siteul dvs. apar ambele culori dar in poze nu... ca de obicei.
"As dori sa stiu daca exista un system buy-back la bicicletele micute de copii pentru ca fetita mea cea mica ar fi vrut o bicicleta noua in locul celei pe care a """"mostenit-o"""" de la sora ei mai mare.",431579,misc - neutral,22,manual,"As dori sa stiu daca exista un system buy-back la bicicletele micute de copii pentru ca fetita mea cea mica ar fi vrut o bicicleta noua in locul celei pe care a """"mostenit-o"""" de la sora ei mai mare.","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: As dori sa stiu daca exista un system buy-back la bicicletele micute de copii pentru ca fetita mea cea mica ar fi vrut o bicicleta noua in locul celei pe care a """"mostenit-o"""" de la sora ei mai mare. </s>",misc is neutral,". as dori sa stiu daca exista un nou buy - back la bicicleta de aici pentru ca fiica mea cea mica ar fi vrut o bicicleta noua in locul celei pe care a "" "" primit - o "" "" de la sora ei mai mare."
"Bicicleta comandata a venit câteva zile mai tarziu, nu m-a deranjat întârzierea, dar cand au montat-o au prins ceva gresit la ghidon, pentru ca acasa s-a desfăcut imediat, si am căutat mult timp un imbus potrivit.De atunci s-a mai desfăcut de 2 ori.Sarisfactia băiatului meu a fost zero cand a rămas cu ghidonul in mâna.Știți cât de greu se manevrează o bicicleta cu ghidonul nestrans?...",431580,"{'choices': ['delivery - negative', 'service - negative', 'staff competency - negative']}",22,manual,"Bicicleta comandata a venit câteva zile mai tarziu, nu m-a deranjat întârzierea, dar cand au montat-o au prins ceva gresit la ghidon, pentru ca acasa s-a desfăcut imediat, si am căutat mult timp un imbus potrivit.De atunci s-a mai desfăcut de 2 ori.Sarisfactia băiatului meu a fost zero cand a rămas cu ghidonul in mâna.Știți cât de greu se manevrează o bicicleta cu ghidonul nestrans?...","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Bicicleta comandata a venit câteva zile mai tarziu, nu m-a deranjat întârzierea, dar cand au montat-o au prins ceva gresit la ghidon, pentru ca acasa s-a desfăcut imediat, si am căutat mult timp un imbus potrivit.De atunci s-a mai desfăcut de 2 ori.Sarisfactia băiatului meu a fost zero cand a rămas cu ghidonul in mâna.Știți cât de greu se manevrează o bicicleta cu ghidonul nestrans?... </s>",delivery is negative; service is negative; staff competency is negative,". bicicleta mea a venit câteva luni mai tarziu, nu m - a deranjat, dar cand au luat - o au facut ceva gresit la ea, pentru ca nu s - a rupt imediat, si am cautat mult timp un cadru potrivit. de atunci s - a mai desfăcut de 2 ori. norocul meu a fost zero cand a ajuns cu ghidonul in mana.. cât de greu se face o mașină cu ghidonul rupt?..."
Timp de livrare destul de lung (mai lung decât la alte magazine on-line).Apreciez solicitudinea personalului din magazin.,431582,"{'choices': ['staff competency - positive', 'delivery - negative']}",22,manual,Timp de livrare destul de lung (mai lung decât la alte magazine on-line).Apreciez solicitudinea personalului din magazin.,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Timp de livrare destul de lung (mai lung decât la alte magazine on-line).Apreciez solicitudinea personalului din magazin. </s>,staff competency is positive; delivery is negative,. timp de livrare destul de scurt ( mai lung decât la alte magazine on - line ). apreciez solicitudinea personalului din staff.
"1. Mai multe produse pentru copii.La un moment dat erau f. multe produse pt. copii si era ok.2. Agentii de securitate sa nu mai intre peste clienti in cabinele de proba, in timp ce acestia probeaza diferite produse.Mentionez ca au intrat  in toate cabinele care erau ocupate la acel moment, fara a tine cont de sexul care ocupa cabina in acel moment. Daca asta este o procedura a magazinului, ar trebui informat clientul la intrarea in magazin.",431590,"{'choices': ['shop diversity - negative', 'security - negative']}",22,manual,"1. Mai multe produse pentru copii.La un moment dat erau f. multe produse pt. copii si era ok.2. Agentii de securitate sa nu mai intre peste clienti in cabinele de proba, in timp ce acestia probeaza diferite produse.Mentionez ca au intrat in toate cabinele care erau ocupate la acel moment, fara a tine cont de sexul care ocupa cabina in acel moment. Daca asta este o procedura a magazinului, ar trebui informat clientul la intrarea in magazin.","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: 1. Mai multe produse pentru copii.La un moment dat erau f. multe produse pt. copii si era ok.2. Agentii de securitate sa nu mai intre peste clienti in cabinele de proba, in timp ce acestia probeaza diferite produse.Mentionez ca au intrat in toate cabinele care erau ocupate la acel moment, fara a tine cont de sexul care ocupa cabina in acel moment. Daca asta este o procedura a magazinului, ar trebui informat clientul la intrarea in magazin. </s>",shop diversity is negative; security is negative,". 1. mai multe scaune pentru bagaje. la un moment dat erau f. multe scaune pt. bagaje si era ok. 2. era de teama sa nu mai intre peste clienti in cabina de fata, in timp ce acestia vand diferite produse. mentionez ca au intrat in toate cele care erau libere la acel moment, fara a tine cont de cei care ocupa cabina in acel moment. daca asta este o procedura a lor, ar trebui saa la mine in tara."
"Per total comanda a fost ok.Papucii comandati 41-42 mi-au fost livrati 40-41, fara sa fiu anuntata inainte de acest lucru :(",431592,"{'choices': ['delivery - positive', 'staff competency - negative']}",22,manual,"Per total comanda a fost ok.Papucii comandati 41-42 mi-au fost livrati 40-41, fara sa fiu anuntata inainte de acest lucru :(","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Per total comanda a fost ok.Papucii comandati 41-42 mi-au fost livrati 40-41, fara sa fiu anuntata inainte de acest lucru :( </s>",delivery is positive; staff competency is negative,". per total nu a fost ok. cei comandati 41 - 42 mi - au fost pe 40 - 41, fara sa fiu sunat inainte de acest lucru : ("
"Marfa imprastiata peste tot. Aspect general neingrijit si multa mizerie, atat pe culoarele dintre raioane, cat mai ales in cabinele de proba.",431595,"{'choices': ['environment - negative', 'shop organization - negative']}",22,manual,"Marfa imprastiata peste tot. Aspect general neingrijit si multa mizerie, atat pe culoarele dintre raioane, cat mai ales in cabinele de proba.","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Marfa imprastiata peste tot. Aspect general neingrijit si multa mizerie, atat pe culoarele dintre raioane, cat mai ales in cabinele de proba. </s>",environment is negative; shop organization is negative,". marfa este peste tot. aspect deplut si multa lume, atat pe culoarul dintre raioane, cat mai ales in zona de afara."
"Treninguri de o varietate redusa, cele de firma foarte scumpe. Nu gasesc manusi de portar cu protectie degete antirasucire.",431614,"{'choices': ['shop diversity - negative', 'price - negative']}",22,manual,"Treninguri de o varietate redusa, cele de firma foarte scumpe. Nu gasesc manusi de portar cu protectie degete antirasucire.","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Treninguri de o varietate redusa, cele de firma foarte scumpe. Nu gasesc manusi de portar cu protectie degete antirasucire. </s>",shop diversity is negative; price is negative,". treninguri de o marime redusa, cele de firma foarte scumpe. nu gasesc manusi de piele cu protectie pentru antirasucire."
"Rafturi goale, nu erau reduceri nici la produsele de extrasezon la care mai erau cateva produse, de obicei numere mici.",431616,"{'choices': ['promotions - negative', 'shop diversity - negative']}",22,manual,"Rafturi goale, nu erau reduceri nici la produsele de extrasezon la care mai erau cateva produse, de obicei numere mici.","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Rafturi goale, nu erau reduceri nici la produsele de extrasezon la care mai erau cateva produse, de obicei numere mici. </s>",promotions is negative; shop diversity is negative,". rafturi goale, nu erau locuri nici la locul de cele la care mai erau cateva zeci, de obicei mai mici."
"Magazinul este mare, dar este si foarte aglomerat,fiind foarte mare durata de așteptare  la case",431619,"{'choices': ['environment - negative', 'service - negative', 'shop organization - positive']}",22,manual,"Magazinul este mare, dar este si foarte aglomerat,fiind foarte mare durata de așteptare la case","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Magazinul este mare, dar este si foarte aglomerat,fiind foarte mare durata de așteptare la case </s>",environment is negative; service is negative; shop organization is positive,". magazinul este mare, dar este si foarte scump, fiind foarte mare durata de așteptiu la client"
