text,id,aspects_polarities,annotator,data_origin,text_cleaned,absa_input,absa_target,text_rephrased,new_label
"In descrierea acesteia, ca justificare pentru pretul ridicat sunt trecute un nr de gauri pentru aerisire ce te va ajuta sa nu transpiri abundent. In realitate si cu aceasta si cea standard ce este la jumatate din  Pret transpiri la fel !",431573,"{'choices': ['product - negative', 'price - negative']}",22,manual,"In descrierea acesteia, ca justificare pentru pretul ridicat sunt trecute un nr de gauri pentru aerisire ce te va ajuta sa nu transpiri abundent. In realitate si cu aceasta si cea standard ce este la jumatate din Pret transpiri la fel !","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: In descrierea acesteia, ca justificare pentru pretul ridicat sunt trecute un nr de gauri pentru aerisire ce te va ajuta sa nu transpiri abundent. In realitate si cu aceasta si cea standard ce este la jumatate din Pret transpiri la fel ! </s>",product is negative; price is negative,"Descrierea produsului menționează că are găuri de aerisire pentru a preveni transpirația excesivă, justificând astfel prețul ridicat. Însă, în realitate, nici acest model și nici varianta standard, care costă jumătate din preț, nu reușesc să prevină transpirația.",product is negative; price is negative
Găsiți o soluție pentru încasările din weekend. Oferiți ceva clienților cât timp așteaptă sa plătească.,431574,misc - neutral,22,manual,Găsiți o soluție pentru încasările din weekend. Oferiți ceva clienților cât timp așteaptă sa plătească.,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Găsiți o soluție pentru încasările din weekend. Oferiți ceva clienților cât timp așteaptă sa plătească. </s>,misc is neutral,Găsiți o modalitate de a face încasările din weekend mai eficiente. Puteți oferi ceva clienților pentru a-i recompensa pe perioada în care așteaptă să finalizeze plata.,misc is neutral
"Probabil am fost dezamagit si ca nu am gasit nici un numar potrivit la produsele pe care le-am probat, si ca era destul de mare galagie facuta de copiii care alergau si se jucau prin magazin fara sa fi fost atentionati",431575,"{'choices': ['environment - negative', 'shop diversity - negative']}",22,manual,"Probabil am fost dezamagit si ca nu am gasit nici un numar potrivit la produsele pe care le-am probat, si ca era destul de mare galagie facuta de copiii care alergau si se jucau prin magazin fara sa fi fost atentionati","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Probabil am fost dezamagit si ca nu am gasit nici un numar potrivit la produsele pe care le-am probat, si ca era destul de mare galagie facuta de copiii care alergau si se jucau prin magazin fara sa fi fost atentionati </s>",environment is negative; shop diversity is negative,"Experiența mea a fost una dezamăgitoare, în primul rând pentru că nu am găsit produsele potrivite, iar pe de altă parte, atmosfera din magazin era haotică din cauza copiilor care alergau și se jucau fără supraveghere.",environment is negative; shop diversity is negative
Buna ziua. Am ajuns ieri 31.08.17 in magazinul din Brasov pentru a achizitiona o cutie de izotonic praf marca Isostar brusc costa 50 de lei cel putin acesta era pretul afisat la raft. Sunt destul de nemultumit de aceasat scump[ire avand in vedere ca acum cateva luni costa 35 de lei fara reduceri. Evident ca pe situl dvs. apar ambele produse dar in magazin nu... ca de obicei.,431576,"{'choices': ['price - negative', 'shop organization - negative']}",22,manual,Buna ziua. Am ajuns ieri 31.08.17 in magazinul din Brasov pentru a achizitiona o cutie de izotonic praf marca Isostar brusc costa 50 de lei cel putin acesta era pretul afisat la raft. Sunt destul de nemultumit de aceasat scump[ire avand in vedere ca acum cateva luni costa 35 de lei fara reduceri. Evident ca pe situl dvs. apar ambele produse dar in magazin nu... ca de obicei.,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Buna ziua. Am ajuns ieri 31.08.17 in magazinul din Brasov pentru a achizitiona o cutie de izotonic praf marca Isostar brusc costa 50 de lei cel putin acesta era pretul afisat la raft. Sunt destul de nemultumit de aceasat scump[ire avand in vedere ca acum cateva luni costa 35 de lei fara reduceri. Evident ca pe situl dvs. apar ambele produse dar in magazin nu... ca de obicei. </s>,price is negative; shop organization is negative,"Buna ziua, am vizitat magazinul din Brasov ieri și am fost dezamăgit să văd că prețul cutiei de izotonic praf Isostar a crescut la 50 de lei, deși în urmă cu câteva luni era de 35 de lei. De asemenea, este frustrant că produsul nu este disponibil în magazin, deși este listat pe site.",price is negative; shop organization is negative
"As dori sa stiu daca exista un system buy-back la bicicletele micute de copii pentru ca fetita mea cea mica ar fi vrut o bicicleta noua in locul celei pe care a """"mostenit-o"""" de la sora ei mai mare.",431579,misc - neutral,22,manual,"As dori sa stiu daca exista un system buy-back la bicicletele micute de copii pentru ca fetita mea cea mica ar fi vrut o bicicleta noua in locul celei pe care a """"mostenit-o"""" de la sora ei mai mare.","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: As dori sa stiu daca exista un system buy-back la bicicletele micute de copii pentru ca fetita mea cea mica ar fi vrut o bicicleta noua in locul celei pe care a """"mostenit-o"""" de la sora ei mai mare. </s>",misc is neutral,"Ma intereseaza daca exista o optiune de rascumparare pentru bicicletele mici de copii, deoarece fetita mea cea mica vrea o bicicleta noua in locul celei vechi pe care a primit-o de la sora ei mai mare.",misc is neutral
"Bicicleta comandata a venit câteva zile mai tarziu, nu m-a deranjat întârzierea, dar cand au montat-o au prins ceva gresit la ghidon, pentru ca acasa s-a desfăcut imediat, si am căutat mult timp un imbus potrivit.De atunci s-a mai desfăcut de 2 ori.Sarisfactia băiatului meu a fost zero cand a rămas cu ghidonul in mâna.Știți cât de greu se manevrează o bicicleta cu ghidonul nestrans?...",431580,"{'choices': ['delivery - negative', 'service - negative', 'staff competency - negative']}",22,manual,"Bicicleta comandata a venit câteva zile mai tarziu, nu m-a deranjat întârzierea, dar cand au montat-o au prins ceva gresit la ghidon, pentru ca acasa s-a desfăcut imediat, si am căutat mult timp un imbus potrivit.De atunci s-a mai desfăcut de 2 ori.Sarisfactia băiatului meu a fost zero cand a rămas cu ghidonul in mâna.Știți cât de greu se manevrează o bicicleta cu ghidonul nestrans?...","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Bicicleta comandata a venit câteva zile mai tarziu, nu m-a deranjat întârzierea, dar cand au montat-o au prins ceva gresit la ghidon, pentru ca acasa s-a desfăcut imediat, si am căutat mult timp un imbus potrivit.De atunci s-a mai desfăcut de 2 ori.Sarisfactia băiatului meu a fost zero cand a rămas cu ghidonul in mâna.Știți cât de greu se manevrează o bicicleta cu ghidonul nestrans?... </s>",delivery is negative; service is negative; staff competency is negative,"Bicicleta pe care am comandat-o a sosit cu întârziere, ceea ce nu m-a deranjat prea tare, însă problema majoră a apărut atunci când am descoperit că ghidonul era montat incorect. De îndată ce am ajuns acasă, el s-a desfăcut și am pierdut mult timp căutând un imbus potrivit pentru a-l repara. Din păcate, această problemă s-a repetat de două ori. Fiul meu a fost foarte nemulțumit atunci când, în timp ce conducea bicicleta, ghidonul i-a rămas în mână. Știți cât de dificil este să se conducă o bicicletă cu un ghidon care nu este bine fixat?",delivery is negative; service is negative; staff competency is negative
Timp de livrare destul de lung (mai lung decât la alte magazine on-line).Apreciez solicitudinea personalului din magazin.,431582,"{'choices': ['staff competency - positive', 'delivery - negative']}",22,manual,Timp de livrare destul de lung (mai lung decât la alte magazine on-line).Apreciez solicitudinea personalului din magazin.,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Timp de livrare destul de lung (mai lung decât la alte magazine on-line).Apreciez solicitudinea personalului din magazin. </s>,staff competency is positive; delivery is negative,"Din păcate, livrarea a durat mai mult decât mă așteptam, fiind mai lentă comparativ cu alte magazine online. În schimb, personalul din magazin a fost foarte amabil și profesionist.",staff competency is positive; delivery is negative
"1. Mai multe produse pentru copii.La un moment dat erau f. multe produse pt. copii si era ok.2. Agentii de securitate sa nu mai intre peste clienti in cabinele de proba, in timp ce acestia probeaza diferite produse.Mentionez ca au intrat  in toate cabinele care erau ocupate la acel moment, fara a tine cont de sexul care ocupa cabina in acel moment. Daca asta este o procedura a magazinului, ar trebui informat clientul la intrarea in magazin.",431590,"{'choices': ['shop diversity - negative', 'security - negative']}",22,manual,"1. Mai multe produse pentru copii.La un moment dat erau f. multe produse pt. copii si era ok.2. Agentii de securitate sa nu mai intre peste clienti in cabinele de proba, in timp ce acestia probeaza diferite produse.Mentionez ca au intrat in toate cabinele care erau ocupate la acel moment, fara a tine cont de sexul care ocupa cabina in acel moment. Daca asta este o procedura a magazinului, ar trebui informat clientul la intrarea in magazin.","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: 1. Mai multe produse pentru copii.La un moment dat erau f. multe produse pt. copii si era ok.2. Agentii de securitate sa nu mai intre peste clienti in cabinele de proba, in timp ce acestia probeaza diferite produse.Mentionez ca au intrat in toate cabinele care erau ocupate la acel moment, fara a tine cont de sexul care ocupa cabina in acel moment. Daca asta este o procedura a magazinului, ar trebui informat clientul la intrarea in magazin. </s>",shop diversity is negative; security is negative,"Magazinul ar trebui să ofere mai multe produse pentru copii, cum era odinioară. De asemenea, este inacceptabil ca agenții de securitate să intre în cabinele de probă fără a ține cont de clienți, indiferent de sex. Această procedură ar trebui explicată clar la intrarea în magazin.",shop diversity is negative; security is negative
"Per total comanda a fost ok.Papucii comandati 41-42 mi-au fost livrati 40-41, fara sa fiu anuntata inainte de acest lucru :(",431592,"{'choices': ['delivery - positive', 'staff competency - negative']}",22,manual,"Per total comanda a fost ok.Papucii comandati 41-42 mi-au fost livrati 40-41, fara sa fiu anuntata inainte de acest lucru :(","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Per total comanda a fost ok.Papucii comandati 41-42 mi-au fost livrati 40-41, fara sa fiu anuntata inainte de acest lucru :( </s>",delivery is positive; staff competency is negative,"In general, comanda a fost satisfacatoare, insa am fost dezamagita de faptul ca marimea papucilor livrati a fost diferente fata de cea comandata, fara a primi o notificare prealabila.",delivery is positive; staff competency is negative
"Marfa imprastiata peste tot. Aspect general neingrijit si multa mizerie, atat pe culoarele dintre raioane, cat mai ales in cabinele de proba.",431595,"{'choices': ['environment - negative', 'shop organization - negative']}",22,manual,"Marfa imprastiata peste tot. Aspect general neingrijit si multa mizerie, atat pe culoarele dintre raioane, cat mai ales in cabinele de proba.","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Marfa imprastiata peste tot. Aspect general neingrijit si multa mizerie, atat pe culoarele dintre raioane, cat mai ales in cabinele de proba. </s>",environment is negative; shop organization is negative,"Produsele sunt risipite peste tot, ceea ce creează o impresie generală de neîngrijire și murdărie, atât în zonele de circulație cât și mai ales în încăperile de probă.",environment is negative; shop organization is negative
"Treninguri de o varietate redusa, cele de firma foarte scumpe. Nu gasesc manusi de portar cu protectie degete antirasucire.",431614,"{'choices': ['shop diversity - negative', 'price - negative']}",22,manual,"Treninguri de o varietate redusa, cele de firma foarte scumpe. Nu gasesc manusi de portar cu protectie degete antirasucire.","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Treninguri de o varietate redusa, cele de firma foarte scumpe. Nu gasesc manusi de portar cu protectie degete antirasucire. </s>",shop diversity is negative; price is negative,"Gama de treninguri este destul de limitata, iar produsele de marca sunt prea costisitoare. De asemenea, nu reusesc sa gasesc manusi de portar cu protectie pentru degete care sa previna rasucirile.",shop diversity is negative; price is negative
