id,text_cleaned,absa_input,absa_target,text_bt_RoEnRo,text_bt_RoEnChRo
431573,"In descrierea acesteia, ca justificare pentru pretul ridicat sunt trecute un nr de gauri pentru aerisire ce te va ajuta sa nu transpiri abundent. In realitate si cu aceasta si cea standard ce este la jumatate din Pret transpiri la fel !","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: In descrierea acesteia, ca justificare pentru pretul ridicat sunt trecute un nr de gauri pentru aerisire ce te va ajuta sa nu transpiri abundent. In realitate si cu aceasta si cea standard ce este la jumatate din Pret transpiri la fel ! </s>",product is negative; price is negative,"În descrierea sa, ca justificare pentru prețul ridicat, un număr de găuri sunt incluse pentru ventilație, care vă va ajuta să nu transpirați din plin.","Pentru a dovedi că prețul este ridicat, descrierea include câteva orificii de ventilație, dar nu este suficientă pentru a arăta că este un produs de lux."
431574,Găsiți o soluție pentru încasările din weekend. Oferiți ceva clienților cât timp așteaptă sa plătească.,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Găsiți o soluție pentru încasările din weekend. Oferiți ceva clienților cât timp așteaptă sa plătească. </s>,misc is neutral,"Găseşte o cale să faci bani în weekend, dă clienţilor ceva de mâncare cât aşteaptă să plătească.","În weekend, dă bani şi mănâncă pentru clienţi, aşteptând să fie plătiţi."
431575,"Probabil am fost dezamagit si ca nu am gasit nici un numar potrivit la produsele pe care le-am probat, si ca era destul de mare galagie facuta de copiii care alergau si se jucau prin magazin fara sa fi fost atentionati","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Probabil am fost dezamagit si ca nu am gasit nici un numar potrivit la produsele pe care le-am probat, si ca era destul de mare galagie facuta de copiii care alergau si se jucau prin magazin fara sa fi fost atentionati </s>",environment is negative; shop diversity is negative,"Probabil că am fost dezamăgit că nu am găsit niciun număr potrivit pe produsele pe care le-am încercat, şi că era destul de mult zgomot făcut de copii care alergau şi se jucau prin magazin fără să fie observaţi.","Dezamăgit, nu am găsit nici un număr care să se potrivească cu produsele, copiii se jucau în magazine, iar eu nu am găsit nici un număr care să se potrivească cu produsele."
431576,Buna ziua. Am ajuns ieri 31.08.17 in magazinul din Brasov pentru a achizitiona o cutie de izotonic praf marca Isostar brusc costa 50 de lei cel putin acesta era pretul afisat la raft. Sunt destul de nemultumit de aceasat scump[ire avand in vedere ca acum cateva luni costa 35 de lei fara reduceri. Evident ca pe situl dvs. apar ambele produse dar in magazin nu... ca de obicei.,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Buna ziua. Am ajuns ieri 31.08.17 in magazinul din Brasov pentru a achizitiona o cutie de izotonic praf marca Isostar brusc costa 50 de lei cel putin acesta era pretul afisat la raft. Sunt destul de nemultumit de aceasat scump[ire avand in vedere ca acum cateva luni costa 35 de lei fara reduceri. Evident ca pe situl dvs. apar ambele produse dar in magazin nu... ca de obicei. </s>,price is negative; shop organization is negative,"Am ajuns ieri 31.08.17 la magazinul din Brașov să cumpăr o cutie de pulbere izotonică marca Isostar care dintr-o dată a costat 50 lei cel puțin acesta era prețul afișat pe raft. Sunt destul de nemulțumit de această etichetă de preț având în vedere că acum câteva luni costa 35 lei fără reduceri. Evident pe site-ul dvs. apar ambele produse, dar în magazin nu... ca de obicei.","Am ajuns ieri la magazinul din Brasov, unde am cumpărat o cutie de isotopi de marcă Isostar care brusc a costat 50 de lei, cel puţin preţul pe care îl arăta pe raft."
431579,"As dori sa stiu daca exista un system buy-back la bicicletele micute de copii pentru ca fetita mea cea mica ar fi vrut o bicicleta noua in locul celei pe care a """"mostenit-o"""" de la sora ei mai mare.","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: As dori sa stiu daca exista un system buy-back la bicicletele micute de copii pentru ca fetita mea cea mica ar fi vrut o bicicleta noua in locul celei pe care a """"mostenit-o"""" de la sora ei mai mare. </s>",misc is neutral,"Aş vrea să ştiu dacă există un sistem de răscumpărare pentru bicicletele pentru copii mici, pentru că fetiţa mea ar fi vrut o bicicletă nouă în loc de cea pe care a ""moştenit-o"" de la sora ei mai mare.","Vreau să știu dacă există un sistem de recâștigare a bicicletelor pentru copii, pentru că fetița mea va dori o bicicletă nouă, nu una pe care a ""moștenit-o"" de la sora ei mai mare."
431580,"Bicicleta comandata a venit câteva zile mai tarziu, nu m-a deranjat întârzierea, dar cand au montat-o au prins ceva gresit la ghidon, pentru ca acasa s-a desfăcut imediat, si am căutat mult timp un imbus potrivit.De atunci s-a mai desfăcut de 2 ori.Sarisfactia băiatului meu a fost zero cand a rămas cu ghidonul in mâna.Știți cât de greu se manevrează o bicicleta cu ghidonul nestrans?...","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Bicicleta comandata a venit câteva zile mai tarziu, nu m-a deranjat întârzierea, dar cand au montat-o au prins ceva gresit la ghidon, pentru ca acasa s-a desfăcut imediat, si am căutat mult timp un imbus potrivit.De atunci s-a mai desfăcut de 2 ori.Sarisfactia băiatului meu a fost zero cand a rămas cu ghidonul in mâna.Știți cât de greu se manevrează o bicicleta cu ghidonul nestrans?... </s>",delivery is negative; service is negative; staff competency is negative,"Bicicleta pe care am comandat-o a sosit câteva zile mai târziu, nu m-a deranjat întârzierea, dar când au pus-o pe mine, au avut ceva cu ghidonul, pentru că acasă se desfăcea imediat, şi am căutat mult timp un hub potrivit. De atunci s-a desfăcut de două ori.","Bicicleta pe care am comandat-o a sosit la câteva zile după, nu m-a deranjat întârzierea, dar când au pus-o, au avut vreo problemă cu mânerul, pentru că acasă se desfăcea imediat, şi am căutat mult timp pentru un nod potrivit."
431582,Timp de livrare destul de lung (mai lung decât la alte magazine on-line).Apreciez solicitudinea personalului din magazin.,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Timp de livrare destul de lung (mai lung decât la alte magazine on-line).Apreciez solicitudinea personalului din magazin. </s>,staff competency is positive; delivery is negative,Timpul de livrare destul de lung (mai lung decât în alte magazine online). Apreciez bunătatea personalului magazinului.,"Am fost foarte bucuros să văd că am primit o copie a cărții, dar am fost foarte îngrijorat de faptul că am primit o copie a cărții, care a fost trimisă în mai multe zile."
431590,"1. Mai multe produse pentru copii.La un moment dat erau f. multe produse pt. copii si era ok.2. Agentii de securitate sa nu mai intre peste clienti in cabinele de proba, in timp ce acestia probeaza diferite produse.Mentionez ca au intrat in toate cabinele care erau ocupate la acel moment, fara a tine cont de sexul care ocupa cabina in acel moment. Daca asta este o procedura a magazinului, ar trebui informat clientul la intrarea in magazin.","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: 1. Mai multe produse pentru copii.La un moment dat erau f. multe produse pt. copii si era ok.2. Agentii de securitate sa nu mai intre peste clienti in cabinele de proba, in timp ce acestia probeaza diferite produse.Mentionez ca au intrat in toate cabinele care erau ocupate la acel moment, fara a tine cont de sexul care ocupa cabina in acel moment. Daca asta este o procedura a magazinului, ar trebui informat clientul la intrarea in magazin. </s>",shop diversity is negative; security is negative,"1. mai multe produse pentru copii. la un moment dat au fost multe produse pentru copii și a fost bine. 2. agenții de securitate nu mai pentru a intra clienții în cabinele de degustare, în timp ce ei încearcă produse diferite. Am menționat că au intrat toate cabinele care au fost ocupate la acel moment, fără a ține cont de sexul care a ocupat cabina la acel moment. Dacă aceasta este o procedură a magazinului, clientul ar trebui să fie informat atunci când intră în magazin.","2. Paznicii nu mai intră în chioşcul de degustare, iar clienţii încearcă diferite produse. Am menţionat că ei intră în toate chioşcurile ocupate la acel moment, fără a lua în considerare sexul chioşcului ocupat la acel moment."
431592,"Per total comanda a fost ok.Papucii comandati 41-42 mi-au fost livrati 40-41, fara sa fiu anuntata inainte de acest lucru :(","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Per total comanda a fost ok.Papucii comandati 41-42 mi-au fost livrati 40-41, fara sa fiu anuntata inainte de acest lucru :( </s>",delivery is positive; staff competency is negative,"În general, comanda a fost în regulă.","În general, comanda a fost bună. pantofii 41-42 au fost comandați și trimise la mine 40-41, fără a fi anunțați înainte:"
431595,"Marfa imprastiata peste tot. Aspect general neingrijit si multa mizerie, atat pe culoarele dintre raioane, cat mai ales in cabinele de proba.","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Marfa imprastiata peste tot. Aspect general neingrijit si multa mizerie, atat pe culoarele dintre raioane, cat mai ales in cabinele de proba. </s>",environment is negative; shop organization is negative,"Mărfurile sunt împrăştiate peste tot, aspectul general este neîngrijit şi există multă mizerie, atât în coridoarele dintre secţii, cât şi în cabinele de probe.","În plus, în timpul procesului de închidere, am fost nevoiţi să mă ocup de toate lucrurile care aveau legătură cu această operaţiune, cum ar fi: bunurile împrăştiate peste tot, aspectul general neîngrijit, coridoarele camerelor de spital şi dulapurile cu documente murdare."
431614,"Treninguri de o varietate redusa, cele de firma foarte scumpe. Nu gasesc manusi de portar cu protectie degete antirasucire.","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Treninguri de o varietate redusa, cele de firma foarte scumpe. Nu gasesc manusi de portar cu protectie degete antirasucire. </s>",shop diversity is negative; price is negative,Nu găsesc nici o mănuşă de portar cu mănuşi anti-derapare.,Nu am găsit nici o mănuşă de portar care să fie antiderapantă.
431616,"Rafturi goale, nu erau reduceri nici la produsele de extrasezon la care mai erau cateva produse, de obicei numere mici.","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Rafturi goale, nu erau reduceri nici la produsele de extrasezon la care mai erau cateva produse, de obicei numere mici. </s>",promotions is negative; shop diversity is negative,"Rafturi goale, nici o reducere la produsele din afara sezonului, care aveau câteva produse, de obicei număr mic.","Nu există nici un fel de reducere, doar câteva produse, dar nu există nici un fel de reducere."
431619,"Magazinul este mare, dar este si foarte aglomerat,fiind foarte mare durata de așteptare la case","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Magazinul este mare, dar este si foarte aglomerat,fiind foarte mare durata de așteptare la case </s>",environment is negative; service is negative; shop organization is positive,"Magazinul e mare, dar e şi foarte aglomerat, cu timpuri de aşteptare foarte lungi la case.","În plus, am avut o întâlnire cu o femeie care a fost închisă în casă, dar nu a fost niciodată închisă."
431620,"Buna ziua, Sunt dezamagit de comanda ATPUDWKHP , care nu mai soseste. Am fost de doua ori la Decathlon Ploiesti sa aflu ce s-a intamplat cu aceasta comanda(20.04.2016) si nici pana acum nu s-a solutionat. Personalul de la Ploiesti a incercat sa rezolve dar problema e la centru.... Probabil nu o sa mai comand online, desi asa pot comanda mai multe produse. Acum doua luni am incercat sa comand un cutit de vanatoare, dar din nou.....","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Buna ziua, Sunt dezamagit de comanda ATPUDWKHP , care nu mai soseste. Am fost de doua ori la Decathlon Ploiesti sa aflu ce s-a intamplat cu aceasta comanda(20.04.2016) si nici pana acum nu s-a solutionat. Personalul de la Ploiesti a incercat sa rezolve dar problema e la centru.... Probabil nu o sa mai comand online, desi asa pot comanda mai multe produse. Acum doua luni am incercat sa comand un cutit de vanatoare, dar din nou..... </s>",delivery is negative; staff competency is positive,"Bună ziua, sunt dezamăgit de comanda ATPUDWKHP, care nu mai ajunge. Am fost de două ori la Decathlon Ploiesti să aflu ce s-a întâmplat cu această comandă ((20.04.2016) și încă nu s-a rezolvat. Personalul de la Ploiesti a încercat să rezolve, dar problema este în centru.... Probabil că nu voi mai comanda online, deși pot comanda mai multe produse. Acum două luni am încercat să comand un cuțit de vânătoare, dar din nou.....","Bună ziua, sunt dezamăgit de comanda ATPUDWKHP, care nu mai ajunge. Am fost de două ori la Campionatul Catorce la Ploiesti să aflu ce s-a întâmplat cu această comandă (20.04.2016) și încă nu s-a rezolvat."
431625,"Buna ziua,- Am avut o comanda onlne cu ridicare din magazin pentru care am dorit sa fac un retur- Sistemul nu permitea lucratirului de la casa sa faca operatiunea necesara , motiv pentru care s-a format coada la casa, coada ce a trebuit mutata la o alta casa.- s-au dat telefoane peste telefoane, pentru a gasi o solutie pentru rezolvarea problemei- Toate aceste lucruri au durat , motiv pentru care am pierdut timp in magazin, in situatia in care in alte parti, un retur dureaza 2 minute...- Din acest motiv, nu pot spune ca vizita a fost una satisfacatoare.","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Buna ziua,- Am avut o comanda onlne cu ridicare din magazin pentru care am dorit sa fac un retur- Sistemul nu permitea lucratirului de la casa sa faca operatiunea necesara , motiv pentru care s-a format coada la casa, coada ce a trebuit mutata la o alta casa.- s-au dat telefoane peste telefoane, pentru a gasi o solutie pentru rezolvarea problemei- Toate aceste lucruri au durat , motiv pentru care am pierdut timp in magazin, in situatia in care in alte parti, un retur dureaza 2 minute...- Din acest motiv, nu pot spune ca vizita a fost una satisfacatoare. </s>",return warranty is negative; service is negative; staff competency is negative; tech support is negative,"Bună ziua, am avut o comandă online cu o preluare din magazin pentru care am vrut să fac o întoarcere. Sistemul nu a permis lucrătorului de acasă să facă operația necesară, motiv pentru care s-a format coada acasă, coada care a trebuit să fie mutată la o altă casă.","Bună ziua, am comandat online un obiect luat de la magazin și vreau să-l returnez. Sistemul nu permite lucrătorilor casnici să facă operațiunile necesare, de aceea cei care stau la coadă la domiciliu trebuie să se mute la altă casă."
431631,Personalul la case lipsea in conditiile in care magazinul nu era deloc aglomerat. Am stat mai mult de 5 minute ca sa pot plati produsele,Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Personalul la case lipsea in conditiile in care magazinul nu era deloc aglomerat. Am stat mai mult de 5 minute ca sa pot plati produsele </s>,service is negative; staff availability is negative,Personalul de la case lipsea în condiţiile în care magazinul nu era deloc aglomerat.,"În schimb, în fiecare zi, oamenii se întorc la magazinul lor pentru a-și cumpăra mâncarea."
431632,"Prețuri bune, personal amabil, varietate slaba la unele produse, multi clienti doar vin cu copiii pentru a se juca în magazin fara a cumpara ceva.","Extract pairs of aspect categories with their corresponding opinions from the following Romanian review: Prețuri bune, personal amabil, varietate slaba la unele produse, multi clienti doar vin cu copiii pentru a se juca în magazin fara a cumpara ceva. </s>",environment is negative; price is positive; shop diversity is negative; staff competency is positive,"Preţuri bune, personal prietenos, varietate slabă a unor produse, mulţi clienţi vin cu copiii lor să se joace în magazin fără să cumpere nimic.","Mulți dintre clienți vin cu copii, iar cei mici se joacă cu ei."
