text,id,aspects_polarities,all_categories,all_categories_old,all_polarities,data_origin,text_cleaned
Călduros. Păcat nu are și un buzunar la piept.,433299,"{'choices': ['product - positive', 'product - negative']}",product; product,product,Positive; Negative,manual,Călduros. Păcat nu are și un buzunar la piept.
Din pacate sortimentele de incaltaminte pentru copii sunt doar din materiale plastice :(,433548,"{'choices': ['product - negative', 'quality - negative']}",product; quality,product; quality,Negative; Negative,manual,Din pacate sortimentele de incaltaminte pentru copii sunt doar din materiale plastice :(
Nu am găsit mărimea la trening potrivita pentru mine....dezamăgit,433673,shop diversity - negative,shop diversity,shop diversity,Negative,manual,Nu am găsit mărimea la trening potrivita pentru mine....dezamăgit
Nu am gasit produsul pe care il cautam  https://www.decathlon.ro/set-camere-700x18-25--id_8243100.html,433861,shop diversity - negative,shop diversity,shop diversity,Negative,manual,Nu am gasit produsul pe care il cautam
"s-au rupt intr-o luna sunt putrezi, materialul foarte prost",433959,"{'choices': ['product - negative', 'quality - negative']}",product; quality,product; quality,Negative; Negative,manual,"s-au rupt intr-o luna sunt putrezi, materialul foarte prost"
va sun de o jum de ora....nu rasp nimeni!!!!,434077,staff competency - negative,staff competency,staff competency,Negative,manual,va sun de o jum de ora....nu rasp nimeni!!!!
Nemultumit de curier. A venit comanda dupa 4 zile.,434173,delivery - negative,delivery,delivery,Negative,manual,Nemultumit de curier. A venit comanda dupa 4 zile.
Nimic de reprosat personalului. Amabil si dornic sa ajute.,434591,staff competency - positive,staff competency,staff competency,Positive,manual,Nimic de reprosat personalului. Amabil si dornic sa ajute.
Mi-ar placea sa montati in magazin verificatoare de preturi.,434704,service - negative,service,service,Negative,manual,Mi-ar placea sa montati in magazin verificatoare de preturi.
Nu am recomandări. Este foarte bine așa cum este.,434790,misc - neutral,misc,misc,Neutral,manual,Nu am recomandări. Este foarte bine așa cum este.
minge de calitate...am cumparat-o pentru copil...ne place mult,434884,"{'choices': ['product - positive', 'quality - positive']}",product; quality,product; quality,Positive; Positive,manual,minge de calitate...am cumparat-o pentru copil...ne place mult
este foarte bun pentru baietel. nu deranjeaza la par.,434985,product - positive,product,product,Positive,manual,este foarte bun pentru baietel. nu deranjeaza la par.
"Ca de obicei...relaxant...placut, personal plin de viata!",435121,"{'choices': ['environment - positive', 'staff competency - positive']}",environment; staff competency,environment; staff competency,Positive; Positive,manual,"Ca de obicei...relaxant...placut, personal plin de viata!"
"O harta a magazinului amplasata la intrare ar fi utila pt organizarea cumparaturilor, mai ales daca esti impreuna cu copii mici.",435548,service - negative,service,service,Negative,manual,"O harta a magazinului amplasata la intrare ar fi utila pt organizarea cumparaturilor, mai ales daca esti impreuna cu copii mici."
Nu am gasit toate produsele pe cate le-am vrut.,435822,shop diversity - negative,shop diversity,shop diversity,Negative,manual,Nu am gasit toate produsele pe cate le-am vrut.
Magazin complex in care găsești tot ceea ce-ți dorești.,435912,shop diversity - positive,shop diversity,shop diversity,Positive,manual,Magazin complex in care găsești tot ceea ce-ți dorești.
Personal interesat de clienti. Mi-a oferit toate informatiile solicitate.,436026,staff competency - positive,staff competency,staff competency,Positive,manual,Personal interesat de clienti. Mi-a oferit toate informatiile solicitate.
Personal foarte amabil... m-a ajutat cu ce aveam nevoie,436033,staff competency - negative,staff competency,staff competency,Negative,manual,Personal foarte amabil... m-a ajutat cu ce aveam nevoie
"Mărimea a fost buna, s-au potrivit. Materialul excelent.",436038,"{'choices': ['product - positive', 'quality - positive']}",product; quality,product; quality,Positive; Positive,manual,"Mărimea a fost buna, s-au potrivit. Materialul excelent."
"Produsul este super bun ,la fel și raportul pret-calitate.",436062,"{'choices': ['product - positive', 'price - positive', 'quality - positive']}",product; price; quality,product; price; quality,Positive; Positive; Positive,manual,"Produsul este super bun ,la fel și raportul pret-calitate."
Magazinul vostru este unul exemplar. Va multumesc ca existati.,436067,misc - neutral,misc,misc,Neutral,manual,Magazinul vostru este unul exemplar. Va multumesc ca existati.
Foarte practica si rezistenta. Are utilitate inclusiv in casa.,436089,"{'choices': ['product - positive', 'quality - positive']}",product; quality,product; quality,Positive; Positive,manual,Foarte practica si rezistenta. Are utilitate inclusiv in casa.
"Foarte multumit. Sunt usori, ergonomici, protejeaza de razele solare.",436233,product - positive,product,product,Positive,manual,"Foarte multumit. Sunt usori, ergonomici, protejeaza de razele solare."
Sunt comozi si ușori.  Recomand cu plăcere achiziționarea lor.,436268,product - positive,product,product,Positive,manual,Sunt comozi si ușori. Recomand cu plăcere achiziționarea lor.
ar fi bine-venita o gama mai larga de brand-uri,436281,shop diversity - negative,shop diversity,shop diversity,Negative,manual,ar fi bine-venita o gama mai larga de brand-uri
"Se poate mai bine! E putin haos...produs, preturi, marimi...etc",436376,shop organization - negative,shop organization,shop organization,Negative,manual,"Se poate mai bine! E putin haos...produs, preturi, marimi...etc"
Foarte incet s-a desfasurat livrarea. In rest ok.,436414,delivery - negative,delivery,delivery,Negative,manual,Foarte incet s-a desfasurat livrarea. In rest ok.
Produse calitative. Putin personal in zilele de week-end.,436539,"{'choices': ['quality - positive', 'staff availability - negative']}",quality; staff availability,quality; staff availability,Positive; Negative,manual,Produse calitative. Putin personal in zilele de week-end.
Pret ok. Usori. Respirabili. Rezistenti. Exact ce cauram,436601,"{'choices': ['price - positive', 'product - positive', 'quality - positive']}",price; product; quality,price; product; quality,Positive; Positive; Positive,manual,Pret ok. Usori. Respirabili. Rezistenti. Exact ce cauram
Foarte multumita. Varietate mare de produse. Angajati serviabili.,436604,"{'choices': ['shop diversity - positive', 'staff competency - positive']}",shop diversity; staff competency,shop diversity; staff competency,Positive; Positive,manual,Foarte multumita. Varietate mare de produse. Angajati serviabili.
Totul este ok in acest magazin. Produsele sunt. Ok.,436619,product - positive,product,product,Positive,manual,Totul este ok in acest magazin. Produsele sunt. Ok.
"Varietate mare de produse, bun raport calitate/pret. Personal amabil.",436627,"{'choices': ['shop diversity - positive', 'quality - positive', 'staff competency - negative', 'price - positive']}",shop diversity; quality; staff competency; price,shop diversity; quality; staff competency; price,Positive; Positive; Negative; Positive,manual,"Varietate mare de produse, bun raport calitate/pret. Personal amabil."
M-a bucurat amabilitatea si initiativa de a usura processor de achizitie al produselor de care au dat dovada angajatii.,436688,staff competency - positive,staff competency,staff competency,Positive,manual,M-a bucurat amabilitatea si initiativa de a usura processor de achizitie al produselor de care au dat dovada angajatii.
