text,id,aspects_polarities,annotator,all_categories,all_categories_old,all_polarities,data_origin,text_cleaned,cmlm_text
Găsiți o soluție pentru încasările din weekend. Oferiți ceva clienților cât timp așteaptă sa plătească.,431574,misc - neutral,22,misc,misc,Neutral,manual,Găsiți o soluție pentru încasările din weekend. Oferiți ceva clienților cât timp așteaptă sa plătească.,". găsiți o soluție pentru încasările din weekend. oferiți ceva, cât timp așteaptă sa vină."
"Probabil am fost dezamagit si ca nu am gasit nici un numar potrivit la produsele pe care le-am probat, si ca era destul de mare galagie facuta de copiii care alergau si se jucau prin magazin fara sa fi fost atentionati",431575,"{'choices': ['environment - negative', 'shop diversity - negative']}",22,environment; shop diversity,environment; shop diversity,Negative; Negative,manual,"Probabil am fost dezamagit si ca nu am gasit nici un numar potrivit la produsele pe care le-am probat, si ca era destul de mare galagie facuta de copiii care alergau si se jucau prin magazin fara sa fi fost atentionati",". probabil am fost dezamagit si ca nu am gasit nici un ambalas la produsele pe care le - am vazut, si ca era destul de mare coadaa de copiii care alergau si se jucau prin zona fara sa fi fost atentionati"
"Sunt sub orice critica.Am achizitionat o bicicleta de apartament iar la montare am avut surpriza ca o pedala sa nu se insurubeze in ax decat la jumatate dupa care sa se blocheze.Am apelat la serviciile atelierului.Am vorbit nu stiu cu cine care la inceput mia recomandat sa aduc bicicleta la ei. I-am replicat ca are 25 kg si nu pot sa o aduc, fiind in garantie nu sunjt dispus la alta cheltuiala.Raspunsul ? nu are ca sa faca ca nu au serviciu de reparatii acasa.(daca era o banda de alergat tot clientul trebuia sa se ocupe de transport, sa o lege cu sfoara si sa o traga pana la magazin ?).A trebuit sa amenint cu reclamatia mai departe ca sa vina cu propunerea sa trimita ei un curier care sa ridice bicicleta.Asta se intampla acum opt zile. Sa mai sper ca vor rezolva problema? cred ca sunt depasiti, asa ca am sa merg la OPC sa vad ce spun ei, iar intre timp am sa incerc cu forte proprii sa rezolv problema.Feriti-va de Dechatlon",431577,"{'choices': ['product - negative', 'service - negative', 'staff competency - negative']}",22,product; service; staff competency,product; service; staff competency,Negative; Negative; Negative,manual,"Sunt sub orice critica.Am achizitionat o bicicleta de apartament iar la montare am avut surpriza ca o pedala sa nu se insurubeze in ax decat la jumatate dupa care sa se blocheze.Am apelat la serviciile atelierului.Am vorbit nu stiu cu cine care la inceput mia recomandat sa aduc bicicleta la ei. I-am replicat ca are 25 kg si nu pot sa o aduc, fiind in garantie nu sunjt dispus la alta cheltuiala.Raspunsul ? nu are ca sa faca ca nu au serviciu de reparatii acasa.(daca era o banda de alergat tot clientul trebuia sa se ocupe de transport, sa o lege cu sfoara si sa o traga pana la magazin ?).A trebuit sa amenint cu reclamatia mai departe ca sa vina cu propunerea sa trimita ei un curier care sa ridice bicicleta.Asta se intampla acum opt zile. Sa mai sper ca vor rezolva problema? cred ca sunt depasiti, asa ca am sa merg la OPC sa vad ce spun ei, iar intre timp am sa incerc cu forte proprii sa rezolv problema.Feriti-va de Dechatlon",". sunt sub orice critica. am achizitionat o bicicleta de aici iar la montare am avut grija ca o pedala sa nu se insurubeze in ax decat la montaj dupa care sa se ridice. am fost la magazie. am vorbit nu stiu cu cine care la inceput mia spus sa aduc bicicleta la ei. i - am spus ca are 25 lei si nu pot sa o aduc, fiind in garantie nu sunt dispus la alta masina. cum? nu are ce sa faca ca nu au masina de ea acasa. ( daca era o banda de mers tot ei trebuia sa se ocupe de transport, sa o lege cu sfoara si sa o traga pana la magazin? ). a trebui sa amenint cu ceva mai departe ca sa vina cu masina sa trimite ei un curier care sa oe. asta se intampla acum opt zile. sa mai sper ca vor rezolva? cred ca sunt depasiti, asa ca am sa merg la opc sa vad ce spun ei, iar intre timp am sa incerc cu altcine sa rezolv ceva. feriti - va de dechat."
"As dori sa stiu daca exista un system buy-back la bicicletele micute de copii pentru ca fetita mea cea mica ar fi vrut o bicicleta noua in locul celei pe care a """"mostenit-o"""" de la sora ei mai mare.",431579,misc - neutral,22,misc,misc,Neutral,manual,"As dori sa stiu daca exista un system buy-back la bicicletele micute de copii pentru ca fetita mea cea mica ar fi vrut o bicicleta noua in locul celei pe care a """"mostenit-o"""" de la sora ei mai mare.",". as dori sa stiu daca exista un nou buy - back la bicicletele micie de aici pentru ca sora mea cea mica ar fi vrut o bicicleta noua in locul celei pe care a "" "" mostenit - o "" "" de la sora ei mai mare."
"Bicicleta comandata a venit câteva zile mai tarziu, nu m-a deranjat întârzierea, dar cand au montat-o au prins ceva gresit la ghidon, pentru ca acasa s-a desfăcut imediat, si am căutat mult timp un imbus potrivit.De atunci s-a mai desfăcut de 2 ori.Sarisfactia băiatului meu a fost zero cand a rămas cu ghidonul in mâna.Știți cât de greu se manevrează o bicicleta cu ghidonul nestrans?...",431580,"{'choices': ['delivery - negative', 'service - negative', 'staff competency - negative']}",22,delivery; service; staff competency,delivery; service; staff competency,Negative; Negative; Negative,manual,"Bicicleta comandata a venit câteva zile mai tarziu, nu m-a deranjat întârzierea, dar cand au montat-o au prins ceva gresit la ghidon, pentru ca acasa s-a desfăcut imediat, si am căutat mult timp un imbus potrivit.De atunci s-a mai desfăcut de 2 ori.Sarisfactia băiatului meu a fost zero cand a rămas cu ghidonul in mâna.Știți cât de greu se manevrează o bicicleta cu ghidonul nestrans?...",". bicicleta comandata a venit câteva zile mai tarziu, nu m - a deranjat, dar cand au adus - o au prins ceva de la ghidon, pentru ca acasa s - a rupt imediat, si am căutat mult timp un înlocuător. de atunci s - a mai desfăcut de 2 ori. starea băiatului meu a fost zero cand a rămas cu ghidonul in mâna. știți cât de greu se face o mașină cu ghidonul nestrans?..."
Timp de livrare destul de lung (mai lung decât la alte magazine on-line).Apreciez solicitudinea personalului din magazin.,431582,"{'choices': ['staff competency - positive', 'delivery - negative']}",22,staff competency; delivery,staff competency; delivery,Positive; Negative,manual,Timp de livrare destul de lung (mai lung decât la alte magazine on-line).Apreciez solicitudinea personalului din magazin.,. timp de lucru destul de lung ( mai lung decât la alte firme on - line ). apreciez solicitudinea personalului din magazin.
Magazinul si angajatii sint ok. Unele produse nu au pretul afisat . Dupa prima sesiune de cumparaturi la care am prezentat cardul dechatlon nu am primit punctele ...inca (sper sa fie o greseala ).,431588,"{'choices': ['shop organization - negative', 'staff competency - positive', 'service - negative']}",22,shop organization; staff competency; service,shop organization; staff competency; service,Negative; Positive; Negative,manual,Magazinul si angajatii sint ok. Unele produse nu au pretul afisat . Dupa prima sesiune de cumparaturi la care am prezentat cardul dechatlon nu am primit punctele ...inca (sper sa fie o greseala ).,. magazinul si pretul sint ok. unele produse nu au pretul afisat. dupa prima sesiune de lucru la care am prezentat cardul dechatlon nu am observat... inca ( sper sa fie o greseala ).
"1. Mai multe produse pentru copii.La un moment dat erau f. multe produse pt. copii si era ok.2. Agentii de securitate sa nu mai intre peste clienti in cabinele de proba, in timp ce acestia probeaza diferite produse.Mentionez ca au intrat  in toate cabinele care erau ocupate la acel moment, fara a tine cont de sexul care ocupa cabina in acel moment. Daca asta este o procedura a magazinului, ar trebui informat clientul la intrarea in magazin.",431590,"{'choices': ['shop diversity - negative', 'security - negative']}",22,shop diversity; security,shop diversity; security,Negative; Negative,manual,"1. Mai multe produse pentru copii.La un moment dat erau f. multe produse pt. copii si era ok.2. Agentii de securitate sa nu mai intre peste clienti in cabinele de proba, in timp ce acestia probeaza diferite produse.Mentionez ca au intrat in toate cabinele care erau ocupate la acel moment, fara a tine cont de sexul care ocupa cabina in acel moment. Daca asta este o procedura a magazinului, ar trebui informat clientul la intrarea in magazin.",". 1. mai multe produse pentru copii. la un moment dat erau f. multe haine pt. copii si era ok. 2. este de acord sa nu mai intre peste clienti in cabinele de proba, in timp ce acestia probeaza diferite produse. mentionez ca au intrat in toate fetele care erau expuse la acel moment, fara a tine cont de sexul care ocupa cabina in acel moment. daca asta este o procedura a lor, ar trebui interza la intrarea in magazin."
poate daca am reduce timpul petrecut la casa de marcat.....ar fi imbucuratorde asemenea cunostiintele jalnice in materie de echipament sportiv ale angajatiilor....trbuiesc aduse la zi!!!!,431591,"{'choices': ['service - negative', 'staff competency - negative']}",22,service; staff competency,service; staff competency,Negative; Negative,manual,poate daca am reduce timpul petrecut la casa de marcat.....ar fi imbucuratorde asemenea cunostiintele jalnice in materie de echipament sportiv ale angajatiilor....trbuiesc aduse la zi!!!!,. poate daca am reduce timpul petrecut la casa de marcat..... ar fi imbucurator de asemenea cunostiinintele jalnice in zona de joc sportiv ale angajatiilor.... tr dovedesc totul la zi!!!!
"Per total comanda a fost ok.Papucii comandati 41-42 mi-au fost livrati 40-41, fara sa fiu anuntata inainte de acest lucru :(",431592,"{'choices': ['delivery - positive', 'staff competency - negative']}",22,delivery; staff competency,delivery; staff competency,Positive; Negative,manual,"Per total comanda a fost ok.Papucii comandati 41-42 mi-au fost livrati 40-41, fara sa fiu anuntata inainte de acest lucru :(",". per total totul a fost ok. papucii de 41 - 42 mi - au fost livrati 40 - 41, fara sa fiu anuntata inainte de acest lucru : ("
"Marfa imprastiata peste tot. Aspect general neingrijit si multa mizerie, atat pe culoarele dintre raioane, cat mai ales in cabinele de proba.",431595,"{'choices': ['environment - negative', 'shop organization - negative']}",22,environment; shop organization,environment; shop organization,Negative; Negative,manual,"Marfa imprastiata peste tot. Aspect general neingrijit si multa mizerie, atat pe culoarele dintre raioane, cat mai ales in cabinele de proba.",". marfa este peste tot. aspect general murdar si multa mizerie, atat pe culoarea dintre ele, cat mai ales in cabinele de proba."
"Am facut o rezervare, iar produsele numai erau.  Am ajuns in timp util, nu am intarziat pt termenul de ridicare declarat, dar in final cineva din personalul dvs. a gasit produsele de care aveam nevoie.",431598,"{'choices': ['service - negative', 'staff competency - positive']}",22,service; staff competency,service; staff competency,Negative; Positive,manual,"Am facut o rezervare, iar produsele numai erau. Am ajuns in timp util, nu am intarziat pt termenul de ridicare declarat, dar in final cineva din personalul dvs. a gasit produsele de care aveam nevoie.",". am cautat o oferta, iar restul nu erau. am ajuns in timp util, nu am platit pt termena de ridicare declarat, dar in final cineva din personalul dvs. a gasit masina de care aveam nevoie."
"O pereche de shiuri pe care am dus-o pentru reparat talpa, ascutit canturi, ceruit, mi-a fost returnata fara a fi fost remediate zgarieturile, doar acoperite partial cu ceara.",431600,service - negative,22,service,service,Negative,manual,"O pereche de shiuri pe care am dus-o pentru reparat talpa, ascutit canturi, ceruit, mi-a fost returnata fara a fi fost remediate zgarieturile, doar acoperite partial cu ceara.","defect o masina de canturi pe care am luat - o pentru vopsitt, ascutit canturi, etc, mi - a fost returnata fara a fi fost remediate deloc, doar acoperite partial cu ceara."
Calitatea serviciilor oferite la Atelier este foarte slaba.Pe partea service biciclete nu exista personal instruit si pregatit.,431604,"{'choices': ['service - negative', 'staff competency - negative']}",22,service; staff competency,service; staff competency,Negative; Negative,manual,Calitatea serviciilor oferite la Atelier este foarte slaba.Pe partea service biciclete nu exista personal instruit si pregatit.,. calitatea muncii oferite la atelier este foarte slaba. pe partea service biciclete nu exista personal instruit si pregatit.
"Comanda nu era gata la ora stabilita, lipseau medalii si snururi, stikurile nu erau lipite pe medalii si cupe am stat aproape o ora si am plecat cu lipsuri la comnda.",431606,"{'choices': ['service - negative', 'staff competency - negative']}",22,service; staff competency,service; staff competency,Negative; Negative,manual,"Comanda nu era gata la ora stabilita, lipseau medalii si snururi, stikurile nu erau lipite pe medalii si cupe am stat aproape o ora si am plecat cu lipsuri la comnda.",". comanda nu era gata la ora stabilita, fara medalii si snururi, stikurile nu erau lipite pe medalii si eu am stat aproape o ora si am plecat cu ele la hotel."
"Nu imi place faptul ca desi exista multe case sunt maxim 2 deschise, cateodata ne grabim si e neplacuta situatia.",431611,service - negative,22,service,service,Negative,manual,"Nu imi place faptul ca desi exista multe case sunt maxim 2 deschise, cateodata ne grabim si e neplacuta situatia.",". nu imi place faptul ca desi exista multe usi sunt maxim 2 deschise, cate uneorita ne trezim si e neplacuta treaba."
"Rafturi goale, nu erau reduceri nici la produsele de extrasezon la care mai erau cateva produse, de obicei numere mici.",431616,"{'choices': ['promotions - negative', 'shop diversity - negative']}",22,promotions; shop diversity,promotions; shop diversity,Negative; Negative,manual,"Rafturi goale, nu erau reduceri nici la produsele de extrasezon la care mai erau cateva produse, de obicei numere mici.",". rafturi goale, nu erau locuri nici la produsele de sezon la care mai erau cateva produse, de obicei numere mici."
"Magazinul este mare, dar este si foarte aglomerat,fiind foarte mare durata de așteptare  la case",431619,"{'choices': ['environment - negative', 'service - negative', 'shop organization - positive']}",22,environment; service; shop organization,environment; service; shop organization,Negative; Negative; Positive,manual,"Magazinul este mare, dar este si foarte aglomerat,fiind foarte mare durata de așteptare la case",". magazinul este mare, dar este si foarte aglomerat, fiind foarte mare fata de mers la case"
"Buna ziua, Sunt dezamagit de comanda ATPUDWKHP , care nu mai soseste. Am fost de doua ori la Decathlon Ploiesti sa aflu ce s-a intamplat cu aceasta comanda(20.04.2016) si nici pana acum nu s-a solutionat. Personalul de la Ploiesti a incercat sa rezolve dar problema e la centru.... Probabil nu o sa mai comand online, desi asa pot comanda mai multe produse. Acum doua luni am incercat sa comand un cutit de vanatoare, dar din nou.....",431620,"{'choices': ['delivery - negative', 'staff competency - positive']}",22,delivery; staff competency,delivery; staff competency,Negative; Positive,manual,"Buna ziua, Sunt dezamagit de comanda ATPUDWKHP , care nu mai soseste. Am fost de doua ori la Decathlon Ploiesti sa aflu ce s-a intamplat cu aceasta comanda(20.04.2016) si nici pana acum nu s-a solutionat. Personalul de la Ploiesti a incercat sa rezolve dar problema e la centru.... Probabil nu o sa mai comand online, desi asa pot comanda mai multe produse. Acum doua luni am incercat sa comand un cutit de vanatoare, dar din nou.....",". buna ziua, sunt legat de comanda atpud x xp, care nu mai vine. am fost de doua ori la decathlon ploiesti sa aflu ce s - a facut cu aceasta comanda ( 20. 04. 2016 ) si nici pana acum nu s - a livrat. personalul de la ploiesti a incercat sa repare dar problema e la mine.... probabil nu o sa mai comand nimic, desi asa pot lua mai multe produse. acum doua zile am vrut sa comand un produs de aici, dar din nou....."
