id,text_cleaned,all_categories,data_origin
431580,"Bicicleta pe care am comandat-o a sosit câteva zile mai târziu, nu m-a deranjat întârzierea, dar când au pus-o pe mine, au avut ceva cu ghidonul, pentru că acasă se desfăcea imediat, şi am căutat mult timp un hub potrivit. De atunci s-a desfăcut de două ori.",delivery; service; staff competency,bt_1chain
431582,Timpul de livrare destul de lung (mai lung decât în alte magazine online). Apreciez bunătatea personalului magazinului.,staff competency; delivery,bt_1chain
431588,Magazinul şi angajaţii sunt în regulă. unele produse nu au preţul afişat. după prima sesiune de cumpărături în care am prezentat cartea de decatlon nu am primit punctele... încă (sper că e o greşeală).,shop organization; staff competency; service,bt_1chain
431590,"1. mai multe produse pentru copii. la un moment dat au fost multe produse pentru copii și a fost bine. 2. agenții de securitate nu mai pentru a intra clienții în cabinele de degustare, în timp ce ei încearcă produse diferite. Am menționat că au intrat toate cabinele care au fost ocupate la acel moment, fără a ține cont de sexul care a ocupat cabina la acel moment. Dacă aceasta este o procedură a magazinului, clientul ar trebui să fie informat atunci când intră în magazin.",shop diversity; security,bt_1chain
431591,Poate dacă am reduce timpul petrecut la casa de marcat... ar fi frumos să avem o cunoaștere atât de slabă a echipamentelor sportive ale angajaților... trebuie să fie actualizat!!!!,service; staff competency,bt_1chain
431592,"În general, comanda a fost în regulă.",delivery; staff competency,bt_1chain
431595,"Mărfurile sunt împrăştiate peste tot, aspectul general este neîngrijit şi există multă mizerie, atât în coridoarele dintre secţii, cât şi în cabinele de probe.",environment; shop organization,bt_1chain
431598,"Am făcut o rezervare, iar produsele au fost doar la timp, nu am pierdut termenul de preluare, dar în cele din urmă cineva din personalul tău a găsit produsele de care aveam nevoie.",service; staff competency,bt_1chain
431600,"O pereche de pantofi pe care i-am luat pentru a-i repara, cu marginile ascuţite, cu ceară, mi-au fost înapoiate fără a fi reparate zgârieturile, doar parţial acoperite cu ceară.",service,bt_1chain
431604,"Calitatea serviciilor oferite de Atelier este foarte slabă, nu există personal calificat și instruit în domeniul serviciilor pentru biciclete.",service; staff competency,bt_1chain
431606,"Ordinul nu a fost gata la ora stabilită, medaliile şi pangliile lipsesc, nu au fost lipite beţele de medalii şi de cupe.",service; staff competency,bt_1chain
431611,"Nu-mi place că, deşi sunt multe case, sunt doar două deschise, uneori ne grăbim şi e neplăcut.",service,bt_1chain
431616,"Rafturi goale, nici o reducere la produsele din afara sezonului, care aveau câteva produse, de obicei număr mic.",promotions; shop diversity,bt_1chain
431619,"Magazinul e mare, dar e şi foarte aglomerat, cu timpuri de aşteptare foarte lungi la case.",environment; service; shop organization,bt_1chain
431620,"Bună ziua, sunt dezamăgit de comanda ATPUDWKHP, care nu mai ajunge. Am fost de două ori la Decathlon Ploiesti să aflu ce s-a întâmplat cu această comandă ((20.04.2016) și încă nu s-a rezolvat. Personalul de la Ploiesti a încercat să rezolve, dar problema este în centru.... Probabil că nu voi mai comanda online, deși pot comanda mai multe produse. Acum două luni am încercat să comand un cuțit de vânătoare, dar din nou.....",delivery; staff competency,bt_1chain
431625,"Bună ziua, am avut o comandă online cu o preluare din magazin pentru care am vrut să fac o întoarcere. Sistemul nu a permis lucrătorului de acasă să facă operația necesară, motiv pentru care s-a format coada acasă, coada care a trebuit să fie mutată la o altă casă.",return warranty; service; staff competency; tech support,bt_1chain
431628,"Bicicleta a sosit după 8 zile, era în stare de reglare, reglările sunt mediocre (frâna din spate este prea strânsă și nu lasă roata să se rotească liber și cea din față, blocajul atinge anvelopa și roata nu se rotește liber) ceea ce este destul de important mai ales când este vorba de un copil. Altfel, nimic de comentat, bicicleta arată bine, este ambalata într-o cutie mare și este bine protejată pentru transport.",product; service; staff competency,bt_1chain
431629,"Am comandat o bicicletă pentru copii Btwin Runride 520 fără pedale și am primit-o cu o piesă de cuplare blocată într-un loc diferit de locul în care trebuia să fie fixată, care este pe bara roții din față, dar trebuia să fie pe bara manetului, și problema a fost că avea un șurub strâns care se pierdea și trebuia schimbat, era mai dificil, dar cu o cleme care ținea, două persoane, am reușit. Inițial am vrut să trimit bicicleta înapoi pentru a o schimba, dar asta e tot. Am încercat să te sun, dar am așteptat 20 de minute pentru un operator de la magazinul online de decatlon să răspundă și am renunțat. Păcat că s-a întâmplat să fie o piesă cu capul și piesa de cuplare, pentru că este foarte bună și este pe băie",product; product; service; staff competency,bt_1chain
431631,Personalul de la case lipsea în condiţiile în care magazinul nu era deloc aglomerat.,service; staff availability,bt_1chain
431632,"Preţuri bune, personal prietenos, varietate slabă a unor produse, mulţi clienţi vin cu copiii lor să se joace în magazin fără să cumpere nimic.",environment; price; shop diversity; staff competency,bt_1chain
431633,"2 perechi de schiuri ascuţite. Din păcate, pentru maşinile de ascuţit ale magazinului, nu mă mai întorc pentru astfel de servicii.",service,bt_1chain
431634,"Bine, e doar că persoana care a reparat motocicleta nu a făcut o treabă bună și a trebuit să se întoarcă.",staff competency; service,bt_1chain
431637,"Bună ziua, am cumpărat recent acest model de la decthlon Brasov. La nici o milă am simțit dureri în spate și picioare. Vreau să-l schimb cu modelul 9. Care este mult mai confortabil fiind mai aproape de pământ. Am condus pentru o lungă perioadă de timp cu modelul copiilor care este mai aproape de pământ. Vă voi spune din experiență că cred că conceptul a fost greșit. L-am dat cunoștințelor să-l testeze și aceleași plângeri am primit. Este greu și înalt. La o milă nu mai puteți scutura piciorul de durere. Nu recomand să testeze. În schimb am încercat modelul orașului 9 și este altceva. Voi scrie celor responsabili de relațiile cu clienții. Poate că pot să-l dau înapoi. Când nu am avut acest model de testat. Acum",product; return warranty; shop diversity; product,bt_1chain
431639,"Lipsa de produse, personal mic în weekenduri sau sărbători, când e foarte aglomerat.",staff availability; shop diversity,bt_1chain
431640,"A fost foarte greu să găsesc pe cineva care să-mi dea detalii și recomandări despre un ceas inteligent, și când am făcut-o, întreaga conversație a durat patru secunde.",staff availability; staff competency,bt_1chain
431642,"Prea mult timp pentru serviciu, sporturile de iarnă ar trebui să aibă prioritate în timpul iernii.",service,bt_1chain
431643,"Cum am spus, preţuri mari, reduceri mici, şi mai mult în joc.",shop organization; promotions; price; shop diversity,bt_1chain
431645,"Cozi lungi la case, niciun personal în magazin dacă vrei ajutor, multe produse care nu au toate măsurătorile (doar câteva măsurători pentru fiecare produs).",staff availability; shop diversity; service,bt_1chain
431648,"Personalul neinstruit și neplăcut, la secțiunea de fotbal lipsesc pantofii de crampoon (există cel puțin 5 școli de fotbal în Brașov) și trebuie să cumpărăm de pe internet, toaletele sunt mai rele decât la gară!!!",environment; staff competency; shop diversity,bt_1chain
431651,"O persoană era responsabilă atât de biciclete, cât și de gravură/tipărire. Am așteptat cel puțin 15 minute până când un angajat mi-a adresat adresa, deși eram în linia de vedere a unei doamne din birou (presupun că cu o poziție mai avansată). Danza era prea ocupat să vorbească vesel cu cineva la telefon, mi-a dat sentimentul că nu era legat de serviciu. Angajatul m-a servit după ce a terminat cu clientul de la biciclete, dar a fost întrerupt de 3 sau 4 ori mai mult de telefonul intern și a plecat de două ori într-o altă zonă a magazinului. Pentru o simplă personalizare a unei piese mici am petrecut peste o oră, angajatul a fost foarte drăguț când mi-a taxat doar textul de pe o parte a cutiei și nu pe amândoi",staff availability; staff competency; staff competency,bt_1chain
431652,"Apreciez sistemul dvs. de operare, garanția pe care o primesc pentru produsele pe care le cumpăr de la dvs., acestea sunt aspectele pozitive. Din păcate, faptul că trebuie să aștept un produs timp de aproximativ o săptămână mă descurajează, nu mă face să am încredere că aș putea găsi ceea ce am nevoie atunci când am nevoie de el.",return warranty; delivery,bt_1chain
431654,"Când ai nevoie de sfaturi, e foarte greu să găsești un angajat Decathlon care să te ajute. Pe lângă faptul că nu e la birou, nu știi unde să-l cauți. Apoi calitatea informațiilor este foarte slabă, nu știe sau nu este sigur de ea. Nu transmite încredere și profesionalism. Acasă, am avut ghinionul de a mă confrunta cu o lipsă totală de bunătate, implicare și profesionalism. Când am văzut că geanta era mare și făcută din hârtie, am refuzat să o iau înapoi. Dar casierul nu a considerat că este necesar să o iau de pe chitanță. M-a trimis la recepție, unde pentru 70 de dolari a trebuit să dau datele CI. În cele din urmă, toată povestea m-a făcut să mă simt inconfortabil, deși aveam dreptate. Nu era vorba de bani",staff availability; staff competency,bt_1chain
431657,A trebuit să pun un suport de biciclete şi a trebuit să cer oficialilor şi sfinţilor să mă ajute.,staff competency; staff availability,bt_1chain
431660,"Prea multă dezordine, copii şi adulţi care merg pe biciclete şi aşa mai departe şi care se implică în accidente.",environment; shop organization,bt_1chain
431663,"Am făcut trei comenzi pe 16 aprilie 2016, TCQZVVLWO,TZBAVTGLI,OTGCTZZZY,am primit confirmarea lor,și când am mers să ridic comanda de la magazin,am fost întrebat pentru o sumă diferită de cea din comandă.Vă rog să rezolvați problema,vreau produsele la prețul pe care l-am comandat de pe site.",service,bt_1chain
431665,"Produs de calitate, dar timpul de livrare a fost exagerat de mare, o săptămână.",quality; delivery,bt_1chain
431668,Experienţa mea în magazinul tău a fost una bună.,misc,bt_1chain
431669,"Am cumpărat serviciul de întreținere a schiurilor, pachetul complet.În opinia mea, există încă loc de îmbunătățire în:Calitatea serviciului Respectarea termenului-limită asumat de magazin, care în cazul meu a fost depășit cu 4 zile",service,bt_1chain
431673,"Am cumpărat o cască de bicicletă care era la vânzare, dar acasă era la prețul maxim. Nu era o reducere mare, dar nu e etic să vinzi un produs și să iei prețul complet pentru el. Primim acele bonuri cadou, dar dacă uiți să le listezi în magazin, nu le poți folosi electronic.",shop organization; service,bt_1chain
431676,"Este extrem de enervant și periculos pentru copii să folosească biciclete, scutere etc. în magazin!! Unele produse sunt în dezordine și rafturile arată ca un magazin de țară!!",environment; shop organization,bt_1chain
431677,"A petrecut mult timp în casă, unde era doar un angajat.",service; staff availability,bt_1chain
431678,"O schimbare de anvelopa de bicicleta a durat 5 zile, in timpul carora am venit de doua ori sa o iau si nu a fost inlocuita, a treia incercare a fost rezolvata dupa aproximativ 25 de minute de asteptare.",service; staff competency,bt_1chain
431682,"Am vrut să cumpăr o bicicletă pentru copil și pentru că într-un magazin nu aveau noi, fără defecte, am fost de acord să comandăm de la un alt magazin decatlon de la tatăl meu și să revin după comandă. Câteva ore mai târziu am fost sunat, sub pretextul că au găsit una nouă în magazin. La prezentarea de la magazin, SOC!!: Mi s-a prezentat o bicicletă, potrivită cu alte două biciclete rupte deja existente",service; staff competency,bt_1chain
431684,"Produsele de calitate sunt scumpe, produsele ieftine sunt de calitate proastă, lipsa personalului care să ajute districtele, schimbarea constantă a distribuției produselor pe categorii în districte.",quality; price; shop organization; staff availability,bt_1chain
431686,"Prețul de pe geantă, pe care alte magazine din rețea îl oferă gratuit",service,bt_1chain
431687,"Comanda nu a fost livrată la timp, de aceea am pierdut cadoul de Crăciun pentru fiul meu. De asemenea, când am raportat acest lucru operatorului la numărul de contact de pe acest site, deși a promis să se întoarcă cu un telefon după verificarea situației, a uitat să se întoarcă cu apelul promis. Evident, în termen de 5 zile de la data de livrare programată, am refuzat să primesc produsele. Deci.....",delivery; staff competency,bt_1chain
431688,"Bună, am fost dezamăgit de organizarea magazinului dvs. În sensul că m-am prezentat la magazin duminică la 16:07 pentru a cumpăra niște pantofi de plajă pentru copil, băiatul din departament a spus că erau în stoc în Pallady și a garantat că vor ajunge la Militari miercuri (am menționat că am nevoie de ele până vineri târziu). Am făcut comanda în magazin și m-am prezentat joi pentru a le plăti, când surpriza nu a sosit, dar nici măcar nu știau nimic despre ele. Am insistat să fiu informat când am ajuns, dar nimic, la 10 minute după ce am părăsit magazinul am primit un bip de la magazin și așa mai departe (sper că nu au răspuns că m-au contactat). M-am întors și 20 de minute mai târziu nimeni. Dacă știam că am fost atât de mult",shop organization; staff competency; service,bt_1chain
431694,"Am frecvent magazin sau uneori sunt în zonă și nu numai asta, chiar dacă locuiesc la o distanță considerabilă de magazin. Dacă vreau ceva prefer să merg acolo și poate să văd alte produse. Dar sunt foarte nefericit că, deși am cerut un card de loialitate pentru o vreme, chiar dacă am fost de aproximativ 5 ori de la data cererii imprimantă care poate lista și ridica cardul nu este niciodată funcțional. Dacă acestea oferă încă un serviciu ar fi frumos și profesionist să-l ofere până la sfârșit doar nu jumătate",service,bt_1chain
431695,"Sunteţi primul magazin online pe care l-am întâlnit unde nu se poate plăti prin ordin de plată, suntem o instituţie publică. Am comandat produsele aşa cum ne-a fost recomandat, de la un magazin fizic din reţeaua voastră şi, deşi este o comandă mare, ni s-a spus că trebuie să plătim transportul produselor. Este complicat să vă emiteţi factura proforma că plătiţi clienţii în contul bancar şi apoi să expediaţi produsele?",delivery; service,bt_1chain
431696,"Personalul de la casă nu e foarte prietenos, aşa că avem nevoie de mai multe cabine de testare.",service; staff competency,bt_1chain
431697,"Am cumpărat un pachet de ""siguranță"" pentru bicicleta mea și am cerut în mod specific să-mi ajustez vitezele și ghidonul, fără a mai menționa că alte ajustări erau incluse în pachet. Când am venit să-mi iau bicicleta am găsit că vitezele mergeau în felul în care le-am adus, adică rău și ghidonul era încă greșit. M-am supărat și i-am spus colegului tău care mi-a ajustat vitezele pe loc și ghidonul era ""occhiometric"". Mă întreb dacă celelalte ajustări au fost făcute sau dacă ai luat 30 de lei pentru că te-ai uitat la bicicletă, pentru că singurele ajustări pe care le-am observat nu au fost rezolvate. În cele din urmă cred că cei mai proști bani au fost cheltuiți în ultima vreme. Nu este mai clar decât la bicicleta",service; staff competency,bt_1chain
431700,"Am cumpărat o bicicletă tilt500 a durat 1 oră și 5 minute pentru a seta băiatul de ajustare fiind nou el a luptat vreau 30 de mine pentru a ajusta frâna fata nu a putut face și a mers să sune un alt coleg între timp un alt tip vine și începe să dezasambleze frâna pe bicicleta mea și să-l întreb ce face.. la care s-a întrebat nu știam ce este a ta... de fapt, este după ajustarea frâna a constatat că o roată a fost de centru am mers la față și cel de la timpul de serviciu nu a avut... am mers înapoi la ajustare.. schimbare, mânerul a avut un joc tot le-am spus unde să-l ajusteze... a venit un alt superior și a fost cent roată și în 2 minute poate fi wow! voi ajunge acasă cu roata de ochi de pisică din spate lips",service; staff competency; staff competency,bt_1chain
431701,"Roţile nu erau îndoite ca să nu cadă, ceea ce s-a întâmplat din păcate, din fericire de data asta s-a întâmplat când copilul nu era pe bicicletă.",service,bt_1chain
431705,Deschidere suplimentară a casei dacă sunt mai mult de 3-4 clienți la casă,service,bt_1chain
431709,Bună ziua. Comanda a sosit în magazin ieri 23 septembrie 2017 nimeni nu știa unde este nimeni nu m-a sunat fiind acolo din întâmplare a trebuit să plec și să se întoarcă pentru că nu știu unde este comanda...,service; staff competency,bt_1chain
431710,"Am comandat din greşeală pe 18 decembrie şi au ajuns pe 27 iar dacă au venit din străinătate, o să fie un cadou pentru Moş Crăciun.",delivery,bt_1chain
431712,"Tipărirea la comandă a durat o veşnicie. Vă spun asta ca o persoană răbdătoare care aşteaptă fără comentarii. Persoana care a personalizat adesea greşit, mereu la personalizare, la pregătirea foliei, la tăierea ei, chiar şi la ""punerea în oglindă"" a scrisului. Foarte amabil, zâmbitor, dar total în afara a ceea ce trebuia să facă. Vă spun cu mâna pe inimă că următoarea personalizare nu o voi mai face în acel punct din Sibiu. Prefer să caut un alt furnizor. Dovada este că ieri am cumpărat echipament din nou de la Decthlon Cluj, dar nu am optat pentru personalizare.",service; staff competency; staff competency,bt_1chain
431713,"Am fost o dată pe 1 iunie şi a doua oară pe 15 iunie să găsesc o skateboard pentru fiica mea de 7 ani, de la cea cu o platformă de cauciuc mai puternică şi nu am găsit-o. Am găsit tot ce căutam, dar skateboardul era important în acel moment. Mă voi întoarce cu plăcere şi poate voi găsi ceea ce caut.",service; shop diversity; shop diversity,bt_1chain
431714,"Am găsit câteva articole pentru alergare în sezonul rece, şi părea aglomerat, aşa că am aşteptat în camerele de probă.",environment; shop diversity,bt_1chain
431716,"Poate dacă ar exista o secţiune unde să ""testeze"" bicicletele/scooterele... ar fi ideal şi ar reduce riscul de accidente.",environment,bt_1chain
431718,"Se indică perioadele de vânzare, dar produsele care sunt incluse în aceste reduceri sunt foarte puține, atât ca varietate de produse, cât și ca număr de produse.",staff availability; promotions,bt_1chain
431720,"Mi-am reparat bicicleta, mi-au schimbat anvelopele, mi-au lubrificat lanțul. Eram foarte fericit. Am făcut și un echilibru de lanț și un serviciu de viteze (nu îmi amintesc cum se numea). Din păcate, când am ajuns acasă pe bicicletă (am transportat-o cu mașina) și am scos-o, am găsit că lanțul a căzut. Apoi ne-am luptat cu ea așa (lanțul a căzut întotdeauna) timp de aproximativ trei zile. În cele din urmă am găsit un vecin care a reușit să o repare pentru noi.",service; service,bt_1chain
431721,"Am cumparat de la magazinul tau un rucsac Arpenaz pentru fiica mea. Deoarece ea urma sa plece a doua zi de calatorie m-am dus la atelier sa-i inscriu numele pe rucsac. Era 06/02/2016, ora 19:08. Dupa ce am asteptat cam 5 minute pana cand muncitorul de acolo a inscriut un rucsac si o camasa, ne-a comunicat ca daca trebuie sa inscriem ceva sa plece de acolo ca are mult de lucru si ca oricum ramane peste program. Am mers la receptie unde o doamna a fost surprinsa ca atelierul s-a terminat, a incercat sa sune pe cineva dar nu a raspuns nimeni, a mers la muncitorul de la atelier dar nu l-a convins. Am intrebat la atelier care este programul, dar pentru ca s-a aflat si nu",service; staff competency,bt_1chain
431728,"În weekend, în prima parte a zilei, toate casele trebuie să fie deschise.",service,bt_1chain
431731,"Ar fi foarte frumos să nu fii oprit la fiecare pas de copii care merg cu biciclete, scutere, scutere...erc. Aceste produse ar trebui să fie în departament, astfel încât să nu te plimbi prin magazin și să ceri unui copil să te lase să te uiți mai atent la un scuter. Cei de pe raft au fost blocați și nu au putut să coboare.",environment,bt_1chain
431733,"Un pic costisitoare taxa de curier, dar o idee foarte bună pentru a lua comanda de la magazinul Decathlon.",delivery; service,bt_1chain
431734,"E foarte scump să-l trimiţi prin curier. Am plătit 19,90 pentru prima rundă, şi dacă vrei să înlocuieşti produsul pentru că nu mi se potriveşte, plăteşti curierul din nou, apoi când pachetul vine cu produsele înlocuite plăteşti curierul. În total am plătit 60 de lei pentru transport, nu crezi că e cam mult? Oricum, cu siguranţă m-ai pierdut ca client, nu voi mai comanda niciodată de la tine.",delivery,bt_1chain
431736,"Lipsa diversităţii, lipsa de produse noi, personal, mai ales în weekenduri...",shop diversity; staff availability,bt_1chain
431740,"Varietate slabă de produse, spaţiu insuficient, puţine registre de bani, haos printre angajaţi...",service; shop diversity; shop organization; staff competency,bt_1chain
431745,"Am cumpărat o pereche de adidaşi pe care i-am dat cuiva şi nu am primit o cutie. De fapt... am observat că de fiecare dată când cumpăram pantofi nu am primit o cutie. De data asta fiind un cadou, nu a fost plăcut.",service,bt_1chain
431748,Două articole nu mai erau în stoc până când au fost livrate.,service,bt_1chain
431749,"Am cumpărat produse în valoare de peste 1000 lei în 1,5 ani, doar 260 de puncte au fost înregistrate. Când m-am dus la casa de marcat, mi-au spus că nu pot identifica cardul și să mă duc la recepție.",service; staff competency,bt_1chain
431750,"Deşi programul mai avea 40 de minute, luminile de la primul etaj al Decathlon-Grand Arena s-au stins.",service,bt_1chain
431752,"Bună ziua, nu pot comanda produsul Ref.: 8333642 BANK ABDOMENE 500 DOMYOS, am văzut că aveți produsul în stoc în magazinul din Palady, de ce nu pot să-l comand...",tech support,bt_1chain
431753,"Bună ziua, îmi puteți spune la ce masă maximă este recomandat să fie utilizat (masa utilizatorului plus masa cu manete)? Vă mulțumesc!",misc,bt_1chain
431756,Este nevoie de mai multă curățenie în cabinele de testare.,environment,bt_1chain
431757,"Cred că este nedrept modul în care am fost tratat. Dar pentru că pot fi subiectiv, vă las să decideți. Am sunat la Decatlon Brasov, în jurul orei 9 dimineața, pentru a face o programare pentru a repara două perechi de schiuri și acoperișul, acoperișul a încă trei perechi. Deoarece răspunsul a fost pozitiv, am mers la Brasov unde am ajuns la ora 11. Am predat schiurile și am vorbit cu angajatul Decatlon care mi-a explicat că procesul este lung, că necesită răbdare și muncă grea. În consecință, schiurile trebuiau să mi se predea la ora 19. Am acceptat fără față. Surpriza a venit când am făcut o reparație la ora 16:30.",staff competency; service,bt_1chain
431758,"Am fost facturat pentru un produs în valoare de 59,90 lei",misc,bt_1chain
431760,Nu am putut obţine cardul pentru că aparatul e stricat.,service,bt_1chain
431761,"Voucherul pe care mi l-ai confirmat prin e-mail este activ, nu există.",service,bt_1chain
431763,Puţini angajaţi acolo unde e nevoie şi mulţi angajaţi de la birou care nu fac nimic cu directorul... patină toată ziua!,staff availability; staff competency,bt_1chain
431764,"Am aşteptat 15 zile, perioada care a fost iniţial confirmat ca timpul de livrare, pentru a fi informat cu o zi înainte că este o eroare de calculator şi de fapt produsul este în afara stocului, aşa că mai bine mă duc şi-l iau eu de la magazin...",service,bt_1chain
431765,"Lucrătorii de la secţii sunt foarte prost instruiţi, dau informaţii incorecte sau incomplete. Aaaa.. aproape am uitat.. mi-ai spus în e-mailul anterior că ai reparat automatul de carduri. Ştii că şi de data asta nu a funcţionat. Sigur că e o practică în magazinul ăsta pentru că toţi cei care erau acasă şi-au spus adresa de e-mail. Probabil că te-ai săturat să întrebi de card.",staff competency; service,bt_1chain
431766,"Mi-aş dori să existe o varietate mai mare de produse în magazine, varietatea care există în alte magazine din ţară, personalul este un pic distant, nu funcţionează foarte bine în Timişoara sistemul tău cu zâmbete, nu am fost în stare să le dau. Nu ştiu dacă această lipsă de calitate a serviciului este un lucru local în Timişoara, dar am observat şi se vede în magazinul tău.",shop diversity; staff competency; service,bt_1chain
431768,"Un pic haotice din cauza copiilor care te-au trecut cu bicicletele lor, scutere, etc.",environment,bt_1chain
431769,"Pentru a aranja produsele, pentru a instrui angajații să folosească cardul de avantaj, cum să plătească cu bonusul acumulat, mai mult nu știa acest lucru.",staff competency; service; shop organization,bt_1chain
431774,"Înțeleg ce înseamnă eficiența în 2018, înțeleg ce înseamnă logistica, dar a durat mult procesarea comenzii. Problema este că unele produse sunt doar în depozitul dvs., în timp ce altele sunt doar în diferite magazine.",delivery; shop organization,bt_1chain
431778,"Personalul este mai bine informat cu privire la: dimensiunea echivalentă a unui produs (SUA, Marea Britanie, UE), etichetarea prețurilor, disponibilitatea explicațiilor privind calitatea produsului.",staff competency; shop organization; staff availability,bt_1chain
431784,"Îmi pare rău că nu poţi da un rating zero, pentru că mai mult nu merită. Nu am mai putut plasa comanda pentru că ""sportistii"" Decathlon nu răspund la e-mailuri decât dacă insist şi cu câteva telefoane. Deci, până când au ajuns cu funcţia ""sportism"", unul dintre produsele de care aveam nevoie nu mai era disponibil nici măcar în depozitul furnizorului! Evident, într-o situaţie ca asta, nu există absolut niciun motiv pentru mine să plasez comanda împreună cu restul produselor. Din păcate, ei au monopol asupra bunurilor sportive şi este destul de dificil să găseşti tot ce ai nevoie în altă parte. Cu toate acestea, eu fac posibil ca tu să nu mai cumperi niciodată de la Decathlon. Prefer să o fac eu.",service; shop diversity; shop diversity; staff competency,bt_1chain
431785,"Am comandat un rucsac în noiembrie 2017 Nu am fost notificat de sosirea sa, ceea ce a dus la vânzarea produsului Acest lucru sa întâmplat de două ori la rând Sunt curios când voi putea cumpăra rucsacul comandat",service,bt_1chain
431787,"Din cauza concursurilor, personalul nu are suficient timp să aducă alte mărimi pe rafturi, sunt prea puține pentru un magazin atât de mare, și nu pot oferi informații și aduce produse.",shop diversity; staff availability; staff competency,bt_1chain
