id,text_cleaned,all_categories,all_polarities,text_bt_RoEnRo,text_bt_RoEnChRo
431574,Găsiți o soluție pentru încasările din weekend. Oferiți ceva clienților cât timp așteaptă sa plătească.,misc,Neutral,"Găseşte o cale să faci bani în weekend, dă clienţilor ceva de mâncare cât aşteaptă să plătească.","În weekend, dă bani şi mănâncă pentru clienţi, aşteptând să fie plătiţi."
431575,"Probabil am fost dezamagit si ca nu am gasit nici un numar potrivit la produsele pe care le-am probat, si ca era destul de mare galagie facuta de copiii care alergau si se jucau prin magazin fara sa fi fost atentionati",environment; shop diversity,Negative; Negative,"Probabil că am fost dezamăgit că nu am găsit niciun număr potrivit pe produsele pe care le-am încercat, şi că era destul de mult zgomot făcut de copii care alergau şi se jucau prin magazin fără să fie observaţi.","Dezamăgit, nu am găsit nici un număr care să se potrivească cu produsele, copiii se jucau în magazine, iar eu nu am găsit nici un număr care să se potrivească cu produsele."
431577,"Sunt sub orice critica.Am achizitionat o bicicleta de apartament iar la montare am avut surpriza ca o pedala sa nu se insurubeze in ax decat la jumatate dupa care sa se blocheze.Am apelat la serviciile atelierului.Am vorbit nu stiu cu cine care la inceput mia recomandat sa aduc bicicleta la ei. I-am replicat ca are 25 kg si nu pot sa o aduc, fiind in garantie nu sunjt dispus la alta cheltuiala.Raspunsul ? nu are ca sa faca ca nu au serviciu de reparatii acasa.(daca era o banda de alergat tot clientul trebuia sa se ocupe de transport, sa o lege cu sfoara si sa o traga pana la magazin ?).A trebuit sa amenint cu reclamatia mai departe ca sa vina cu propunerea sa trimita ei un curier care sa ridice bicicleta.Asta se intampla acum opt zile. Sa mai sper ca vor rezolva problema? cred ca sunt depasiti, asa ca am sa merg la OPC sa vad ce spun ei, iar intre timp am sa incerc cu forte proprii sa rezolv problema.Feriti-va de Dechatlon",product; service; staff competency,Negative; Negative; Negative,"Sunt sub toată critica.Am cumpărat o bicicletă plată și când am fost montat am fost surprins că o pedală nu a intrat în puntea până la jumătatea drumului și apoi a rămas blocat.Am sunat la serviciile de atelier.Am vorbit cu nu știu cine la început mi-a recomandat să aducă bicicleta la ei.Am răspuns că cântărește 25 kg și nu o pot aduce, fiind în garanție nu sunt dispus să cheltui mai mult.Răspunsul? nu trebuie să facă că nu au un serviciu de reparații acasă.","Am cumpărat o bicicletă cu plăci, și la montare am fost surprins să aflu că o pedală nu putea intra în ax decât la jumătatea drumului, apoi s-a blocat. Am sunat la serviciul de service. Am vorbit cu cine nu știu cine a sugerat mai întâi să le aduc bicicleta."
431579,"As dori sa stiu daca exista un system buy-back la bicicletele micute de copii pentru ca fetita mea cea mica ar fi vrut o bicicleta noua in locul celei pe care a """"mostenit-o"""" de la sora ei mai mare.",misc,Neutral,"Aş vrea să ştiu dacă există un sistem de răscumpărare pentru bicicletele pentru copii mici, pentru că fetiţa mea ar fi vrut o bicicletă nouă în loc de cea pe care a ""moştenit-o"" de la sora ei mai mare.","Vreau să știu dacă există un sistem de recâștigare a bicicletelor pentru copii, pentru că fetița mea va dori o bicicletă nouă, nu una pe care a ""moștenit-o"" de la sora ei mai mare."
431580,"Bicicleta comandata a venit câteva zile mai tarziu, nu m-a deranjat întârzierea, dar cand au montat-o au prins ceva gresit la ghidon, pentru ca acasa s-a desfăcut imediat, si am căutat mult timp un imbus potrivit.De atunci s-a mai desfăcut de 2 ori.Sarisfactia băiatului meu a fost zero cand a rămas cu ghidonul in mâna.Știți cât de greu se manevrează o bicicleta cu ghidonul nestrans?...",delivery; service; staff competency,Negative; Negative; Negative,"Bicicleta pe care am comandat-o a sosit câteva zile mai târziu, nu m-a deranjat întârzierea, dar când au pus-o pe mine, au avut ceva cu ghidonul, pentru că acasă se desfăcea imediat, şi am căutat mult timp un hub potrivit. De atunci s-a desfăcut de două ori.","Bicicleta pe care am comandat-o a sosit la câteva zile după, nu m-a deranjat întârzierea, dar când au pus-o, au avut vreo problemă cu mânerul, pentru că acasă se desfăcea imediat, şi am căutat mult timp pentru un nod potrivit."
431582,Timp de livrare destul de lung (mai lung decât la alte magazine on-line).Apreciez solicitudinea personalului din magazin.,staff competency; delivery,Positive; Negative,Timpul de livrare destul de lung (mai lung decât în alte magazine online). Apreciez bunătatea personalului magazinului.,"Am fost foarte bucuros să văd că am primit o copie a cărții, dar am fost foarte îngrijorat de faptul că am primit o copie a cărții, care a fost trimisă în mai multe zile."
431588,Magazinul si angajatii sint ok. Unele produse nu au pretul afisat . Dupa prima sesiune de cumparaturi la care am prezentat cardul dechatlon nu am primit punctele ...inca (sper sa fie o greseala ).,shop organization; staff competency; service,Negative; Positive; Negative,Magazinul şi angajaţii sunt în regulă. unele produse nu au preţul afişat. după prima sesiune de cumpărături în care am prezentat cartea de decatlon nu am primit punctele... încă (sper că e o greşeală).,"În primul meu magazin, am cumpărat o grămadă de produse, dar nu am avut timp să le cumpăr, pentru că nu aveam un preț exact."
431590,"1. Mai multe produse pentru copii.La un moment dat erau f. multe produse pt. copii si era ok.2. Agentii de securitate sa nu mai intre peste clienti in cabinele de proba, in timp ce acestia probeaza diferite produse.Mentionez ca au intrat in toate cabinele care erau ocupate la acel moment, fara a tine cont de sexul care ocupa cabina in acel moment. Daca asta este o procedura a magazinului, ar trebui informat clientul la intrarea in magazin.",shop diversity; security,Negative; Negative,"1. mai multe produse pentru copii. la un moment dat au fost multe produse pentru copii și a fost bine. 2. agenții de securitate nu mai pentru a intra clienții în cabinele de degustare, în timp ce ei încearcă produse diferite. Am menționat că au intrat toate cabinele care au fost ocupate la acel moment, fără a ține cont de sexul care a ocupat cabina la acel moment. Dacă aceasta este o procedură a magazinului, clientul ar trebui să fie informat atunci când intră în magazin.","2. Paznicii nu mai intră în chioşcul de degustare, iar clienţii încearcă diferite produse. Am menţionat că ei intră în toate chioşcurile ocupate la acel moment, fără a lua în considerare sexul chioşcului ocupat la acel moment."
431591,poate daca am reduce timpul petrecut la casa de marcat.....ar fi imbucuratorde asemenea cunostiintele jalnice in materie de echipament sportiv ale angajatiilor....trbuiesc aduse la zi!!!!,service; staff competency,Negative; Negative,Poate dacă am reduce timpul petrecut la casa de marcat... ar fi frumos să avem o cunoaștere atât de slabă a echipamentelor sportive ale angajaților... trebuie să fie actualizat!!!!,"În plus, este posibil ca un angajat să fie mai bun în ceea ce privește echipamentul sportiv, dar nu este suficient pentru a-și menține echipa."
431592,"Per total comanda a fost ok.Papucii comandati 41-42 mi-au fost livrati 40-41, fara sa fiu anuntata inainte de acest lucru :(",delivery; staff competency,Positive; Negative,"În general, comanda a fost în regulă.","În general, comanda a fost bună. pantofii 41-42 au fost comandați și trimise la mine 40-41, fără a fi anunțați înainte:"
431595,"Marfa imprastiata peste tot. Aspect general neingrijit si multa mizerie, atat pe culoarele dintre raioane, cat mai ales in cabinele de proba.",environment; shop organization,Negative; Negative,"Mărfurile sunt împrăştiate peste tot, aspectul general este neîngrijit şi există multă mizerie, atât în coridoarele dintre secţii, cât şi în cabinele de probe.","În plus, în timpul procesului de închidere, am fost nevoiţi să mă ocup de toate lucrurile care aveau legătură cu această operaţiune, cum ar fi: bunurile împrăştiate peste tot, aspectul general neîngrijit, coridoarele camerelor de spital şi dulapurile cu documente murdare."
431598,"Am facut o rezervare, iar produsele numai erau. Am ajuns in timp util, nu am intarziat pt termenul de ridicare declarat, dar in final cineva din personalul dvs. a gasit produsele de care aveam nevoie.",service; staff competency,Negative; Positive,"Am făcut o rezervare, iar produsele au fost doar la timp, nu am pierdut termenul de preluare, dar în cele din urmă cineva din personalul tău a găsit produsele de care aveam nevoie.","Am făcut o rezervare, am primit produsul la timp, nu am pierdut termenul de livrare, am primit un bilet de transport, am primit un bilet de transport, am primit un bilet de transport, am primit un bilet de transport, am primit un bilet de transport, am primit un bilet de transport."
431600,"O pereche de shiuri pe care am dus-o pentru reparat talpa, ascutit canturi, ceruit, mi-a fost returnata fara a fi fost remediate zgarieturile, doar acoperite partial cu ceara.",service,Negative,"O pereche de pantofi pe care i-am luat pentru a-i repara, cu marginile ascuţite, cu ceară, mi-au fost înapoiate fără a fi reparate zgârieturile, doar parţial acoperite cu ceară.","Am luat o pereche de pantofi și am reparat-o, dar marginile erau șterse, dar nu erau reparate, doar parțial acoperite."
431604,Calitatea serviciilor oferite la Atelier este foarte slaba.Pe partea service biciclete nu exista personal instruit si pregatit.,service; staff competency,Negative; Negative,"Calitatea serviciilor oferite de Atelier este foarte slabă, nu există personal calificat și instruit în domeniul serviciilor pentru biciclete.",Serviciile oferite de ateliere sunt de o calitate foarte slabă. Nu există personal calificat şi instruit în domeniul serviciilor de biciclete.
431606,"Comanda nu era gata la ora stabilita, lipseau medalii si snururi, stikurile nu erau lipite pe medalii si cupe am stat aproape o ora si am plecat cu lipsuri la comnda.",service; staff competency,Negative; Negative,"Ordinul nu a fost gata la ora stabilită, medaliile şi pangliile lipsesc, nu au fost lipite beţele de medalii şi de cupe.","Nici medaliile, nici benzile nu au fost găsite, nici etichetele de pe medalii şi de pe pahare nu au fost găsite. Am stat aproape o oră, apoi am plecat, fără medalii."
431611,"Nu imi place faptul ca desi exista multe case sunt maxim 2 deschise, cateodata ne grabim si e neplacuta situatia.",service,Negative,"Nu-mi place că, deşi sunt multe case, sunt doar două deschise, uneori ne grăbim şi e neplăcut.","Nu-mi place, deși există multe case, doar două deschise, uneori suntem ocupați, și este neplăcut."
431616,"Rafturi goale, nu erau reduceri nici la produsele de extrasezon la care mai erau cateva produse, de obicei numere mici.",promotions; shop diversity,Negative; Negative,"Rafturi goale, nici o reducere la produsele din afara sezonului, care aveau câteva produse, de obicei număr mic.","Nu există nici un fel de reducere, doar câteva produse, dar nu există nici un fel de reducere."
431619,"Magazinul este mare, dar este si foarte aglomerat,fiind foarte mare durata de așteptare la case",environment; service; shop organization,Negative; Negative; Positive,"Magazinul e mare, dar e şi foarte aglomerat, cu timpuri de aşteptare foarte lungi la case.","În plus, am avut o întâlnire cu o femeie care a fost închisă în casă, dar nu a fost niciodată închisă."
431620,"Buna ziua, Sunt dezamagit de comanda ATPUDWKHP , care nu mai soseste. Am fost de doua ori la Decathlon Ploiesti sa aflu ce s-a intamplat cu aceasta comanda(20.04.2016) si nici pana acum nu s-a solutionat. Personalul de la Ploiesti a incercat sa rezolve dar problema e la centru.... Probabil nu o sa mai comand online, desi asa pot comanda mai multe produse. Acum doua luni am incercat sa comand un cutit de vanatoare, dar din nou.....",delivery; staff competency,Negative; Positive,"Bună ziua, sunt dezamăgit de comanda ATPUDWKHP, care nu mai ajunge. Am fost de două ori la Decathlon Ploiesti să aflu ce s-a întâmplat cu această comandă ((20.04.2016) și încă nu s-a rezolvat. Personalul de la Ploiesti a încercat să rezolve, dar problema este în centru.... Probabil că nu voi mai comanda online, deși pot comanda mai multe produse. Acum două luni am încercat să comand un cuțit de vânătoare, dar din nou.....","Bună ziua, sunt dezamăgit de comanda ATPUDWKHP, care nu mai ajunge. Am fost de două ori la Campionatul Catorce la Ploiesti să aflu ce s-a întâmplat cu această comandă (20.04.2016) și încă nu s-a rezolvat."
431625,"Buna ziua,- Am avut o comanda onlne cu ridicare din magazin pentru care am dorit sa fac un retur- Sistemul nu permitea lucratirului de la casa sa faca operatiunea necesara , motiv pentru care s-a format coada la casa, coada ce a trebuit mutata la o alta casa.- s-au dat telefoane peste telefoane, pentru a gasi o solutie pentru rezolvarea problemei- Toate aceste lucruri au durat , motiv pentru care am pierdut timp in magazin, in situatia in care in alte parti, un retur dureaza 2 minute...- Din acest motiv, nu pot spune ca vizita a fost una satisfacatoare.",return warranty; service; staff competency; tech support,Negative; Negative; Negative; Negative,"Bună ziua, am avut o comandă online cu o preluare din magazin pentru care am vrut să fac o întoarcere. Sistemul nu a permis lucrătorului de acasă să facă operația necesară, motiv pentru care s-a format coada acasă, coada care a trebuit să fie mutată la o altă casă.","Bună ziua, am comandat online un obiect luat de la magazin și vreau să-l returnez. Sistemul nu permite lucrătorilor casnici să facă operațiunile necesare, de aceea cei care stau la coadă la domiciliu trebuie să se mute la altă casă."
431628,"Bicicleta a venit dupa 8 zile , a fost si in statusul de reglare , reglajele sunt mediocre (frana de spate este prea stransa si nu lasa roata sa se invarta liber iar la cea de fata sabotul atinge in cauciuc la fel roata nu se invarte liber) ceea ce e destul de important mai ales cand e vb de un copil. In rest nimic de comentat, bbicicleta arata f bine, este impachetata in ditamai cutia si este protejata bine pentru transport.",product; service; staff competency,Positive; Negative; Negative,"Bicicleta a sosit după 8 zile, era în stare de reglare, reglările sunt mediocre (frâna din spate este prea strânsă și nu lasă roata să se rotească liber și cea din față, blocajul atinge anvelopa și roata nu se rotește liber) ceea ce este destul de important mai ales când este vorba de un copil. Altfel, nimic de comentat, bicicleta arată bine, este ambalata într-o cutie mare și este bine protejată pentru transport.","Bicicleta a sosit după 8 zile, era în stare de ajustare, ajustarea era foarte plată (bicicleta din spate era prea strânsă, nu lăsa roțile să se rotească liber, cea din față atingea anvelopele, roțile nu se roteau liber), ceea ce era important, mai ales când era copil. Altfel, nu am comentarii, bicicleta arăta foarte bine, era împachetată într-o cutie mare și era bine protejată pentru transport."
431629,"Am comandat o bicicleta pt copii Btwin Runride 520 fara pedale si am primit-o cu o piesa de imbinare prinsa in alt loc decat acolo unde trebuia sa fie fixata, adica pe bara cu roata din fata, dar trebuia pe bara cu ghidonul, iar pb a fost ca avea surubul strans care mergea in gol si care ar trebui schimbat, a fost mai dificil dar cu un cleste care sa tina contra, doi oameni, am reusit. Initial am vrut sa trimit inapoi bicicleta sa o schimbati, dar asta e. Am incercat sa va sun, dar am asteptat 20 min sa raspunda un operator de la magazinul online decathlon si am renuntat. Pacat ca s-a intamplat sa fie o pb cu surubul si cu piesa de imbinare, pt ca bicicleta e foarte buna si e pe placul baietelului meu. Suntem multumiti de bicicleta.",product; product; service; staff competency,Positive; Negative; Negative; Negative,"Am comandat o bicicletă pentru copii Btwin Runride 520 fără pedale și am primit-o cu o piesă de cuplare blocată într-un loc diferit de locul în care trebuia să fie fixată, care este pe bara roții din față, dar trebuia să fie pe bara manetului, și problema a fost că avea un șurub strâns care se pierdea și trebuia schimbat, era mai dificil, dar cu o cleme care ținea, două persoane, am reușit. Inițial am vrut să trimit bicicleta înapoi pentru a o schimba, dar asta e tot. Am încercat să te sun, dar am așteptat 20 de minute pentru un operator de la magazinul online de decatlon să răspundă și am renunțat. Păcat că s-a întâmplat să fie o piesă cu capul și piesa de cuplare, pentru că este foarte bună și este pe băie","Am comandat o bicicletă pentru copii Btwin Runride 520 fără pedal și am primit-o, accesoriile ei au rămas blocate acolo unde ar fi trebuit să fie fixate, era roata din față, dar ar fi trebuit să fie roata de mână, problema era că avea o șurubă strânsă, care trebuia să fie înlocuită, ceea ce era mai dificil, dar cu o șurubă strânsă, două persoane, am reușit."
431631,Personalul la case lipsea in conditiile in care magazinul nu era deloc aglomerat. Am stat mai mult de 5 minute ca sa pot plati produsele,service; staff availability,Negative; Negative,Personalul de la case lipsea în condiţiile în care magazinul nu era deloc aglomerat.,"În schimb, în fiecare zi, oamenii se întorc la magazinul lor pentru a-și cumpăra mâncarea."
431632,"Prețuri bune, personal amabil, varietate slaba la unele produse, multi clienti doar vin cu copiii pentru a se juca în magazin fara a cumpara ceva.",environment; price; shop diversity; staff competency,Negative; Positive; Negative; Positive,"Preţuri bune, personal prietenos, varietate slabă a unor produse, mulţi clienţi vin cu copiii lor să se joace în magazin fără să cumpere nimic.","Mulți dintre clienți vin cu copii, iar cei mici se joacă cu ei."
431633,"2 perechi de schiuri ascutite dezamagitor, pacat de utilajele de ascutit din magazin, nu mai revin pt astfel de servicii",service,Negative,"2 perechi de schiuri ascuţite. Din păcate, pentru maşinile de ascuţit ale magazinului, nu mă mai întorc pentru astfel de servicii.","Am avut o pereche de pantofi de schi, dar, din păcate, pentru un aparat de schi din magazin, este mai greu de găsit decât pentru un aparat de schi din magazin."
431634,"Ok, doar că persoana care a reglat bicicleta nu a făcut o treabă bună și a trebuit să mă întorc.",staff competency; service,Negative; Negative,"Bine, e doar că persoana care a reparat motocicleta nu a făcut o treabă bună și a trebuit să se întoarcă.","Dar omul care repara bicicleta nu a fost bun, așa că a trebuit să mă întorc."
431637,"Buna ziua, am achizitionat de curand de la decthlon Brasov acest model. La nici un km de mers am simtit dureri in spate si picioare. Vreau sa il schimb cu modelul 9. Care este mult mai confortabil fiind mai aproape de pamant. Eu am mers multa vreme cu modelul de copii care este mai aproape de pamant. Va spun din experienta ca a fost cred gresit conceptul. L am dat cunostintelor sa l probeze si aceleasi plangeri le am primit. E greu si inalt. La un km nu mai poti da din picior de durere. Nu recomand. In schimb am probat modelul town 9 si e altceva. O sa scriu si celor responsabili de relatii clienti. Poate reusesc sa il dau inapoi. Cand l am luat nu aveau la proba modelul asta din pacate. Acum nu vor sa mi l schimbe ca l am murdarit pe afara .",product; return warranty; shop diversity; product,Negative; Negative; Negative; Positive,"Bună ziua, am cumpărat recent acest model de la decthlon Brasov. La nici o milă am simțit dureri în spate și picioare. Vreau să-l schimb cu modelul 9. Care este mult mai confortabil fiind mai aproape de pământ. Am condus pentru o lungă perioadă de timp cu modelul copiilor care este mai aproape de pământ. Vă voi spune din experiență că cred că conceptul a fost greșit. L-am dat cunoștințelor să-l testeze și aceleași plângeri am primit. Este greu și înalt. La o milă nu mai puteți scutura piciorul de durere. Nu recomand să testeze. În schimb am încercat modelul orașului 9 și este altceva. Voi scrie celor responsabili de relațiile cu clienții. Poate că pot să-l dau înapoi. Când nu am avut acest model de testat. Acum","Bună ziua, am cumpărat recent acest model de la Brașov la zece kilometri. În timp ce nu aveam un kilometru, simțeam dureri în spate și în picioare. Voiam să îl înlocuiesc cu modelul 9. Este mai confortabil, mai aproape de pământ."
431639,"Lipsa produse, personal putin in week-end sau zilele libeere, ccand este foarte aglomerat.",staff availability; shop diversity,Negative; Negative,"Lipsa de produse, personal mic în weekenduri sau sărbători, când e foarte aglomerat.","În weekenduri sau în zilele de sărbătoare, e mai puțin personal și e foarte aglomerat."
431640,Foarte greu am gasit pe cineva sa-mi ofere detalii si recomandări despre un smartwatch. Si cand am gasit toată conversatia a durat 4 secunde.,staff availability; staff competency,Negative; Negative,"A fost foarte greu să găsesc pe cineva care să-mi dea detalii și recomandări despre un ceas inteligent, și când am făcut-o, întreaga conversație a durat patru secunde.","Este greu să găsesc pe cineva care să-mi dea detalii și sfaturi despre ceasurile inteligente, dar nu am găsit pe nimeni care să-mi dea informații despre ceasurile inteligente."
431642,Timpul prea mare pentru service. Ar trebui sa aiba prioritate sporturile de iarna in perioada iernii.,service,Negative,"Prea mult timp pentru serviciu, sporturile de iarnă ar trebui să aibă prioritate în timpul iernii.",Sportul de iarnă ar trebui să fie o prioritate.
