text,id,aspects_polarities,annotator,all_categories,all_categories_old,all_polarities,data_origin,text_cleaned
"1. Mai multe produse pentru copii.La un moment dat erau f. multe produse pt. copii si era ok.2. Agentii de securitate sa nu mai intre peste clienti in cabinele de proba, in timp ce acestia probeaza diferite produse.Mentionez ca au intrat  in toate cabinele care erau ocupate la acel moment, fara a tine cont de sexul care ocupa cabina in acel moment. Daca asta este o procedura a magazinului, ar trebui informat clientul la intrarea in magazin.",431590,"{'choices': ['shop diversity - negative', 'security - negative']}",22,shop diversity; security,shop diversity; security,Negative; Negative,manual,"1. Mai multe produse pentru copii.La un moment dat erau f. multe produse pt. copii si era ok.2. Agentii de securitate sa nu mai intre peste clienti in cabinele de proba, in timp ce acestia probeaza diferite produse.Mentionez ca au intrat in toate cabinele care erau ocupate la acel moment, fara a tine cont de sexul care ocupa cabina in acel moment. Daca asta este o procedura a magazinului, ar trebui informat clientul la intrarea in magazin."
poate daca am reduce timpul petrecut la casa de marcat.....ar fi imbucuratorde asemenea cunostiintele jalnice in materie de echipament sportiv ale angajatiilor....trbuiesc aduse la zi!!!!,431591,"{'choices': ['service - negative', 'staff competency - negative']}",22,service; staff competency,service; staff competency,Negative; Negative,manual,poate daca am reduce timpul petrecut la casa de marcat.....ar fi imbucuratorde asemenea cunostiintele jalnice in materie de echipament sportiv ale angajatiilor....trbuiesc aduse la zi!!!!
"Per total comanda a fost ok.Papucii comandati 41-42 mi-au fost livrati 40-41, fara sa fiu anuntata inainte de acest lucru :(",431592,"{'choices': ['delivery - positive', 'staff competency - negative']}",22,delivery; staff competency,delivery; staff competency,Positive; Negative,manual,"Per total comanda a fost ok.Papucii comandati 41-42 mi-au fost livrati 40-41, fara sa fiu anuntata inainte de acest lucru :("
"Marfa imprastiata peste tot. Aspect general neingrijit si multa mizerie, atat pe culoarele dintre raioane, cat mai ales in cabinele de proba.",431595,"{'choices': ['environment - negative', 'shop organization - negative']}",22,environment; shop organization,environment; shop organization,Negative; Negative,manual,"Marfa imprastiata peste tot. Aspect general neingrijit si multa mizerie, atat pe culoarele dintre raioane, cat mai ales in cabinele de proba."
"Am facut o rezervare, iar produsele numai erau.  Am ajuns in timp util, nu am intarziat pt termenul de ridicare declarat, dar in final cineva din personalul dvs. a gasit produsele de care aveam nevoie.",431598,"{'choices': ['service - negative', 'staff competency - positive']}",22,service; staff competency,service; staff competency,Negative; Positive,manual,"Am facut o rezervare, iar produsele numai erau. Am ajuns in timp util, nu am intarziat pt termenul de ridicare declarat, dar in final cineva din personalul dvs. a gasit produsele de care aveam nevoie."
"O pereche de shiuri pe care am dus-o pentru reparat talpa, ascutit canturi, ceruit, mi-a fost returnata fara a fi fost remediate zgarieturile, doar acoperite partial cu ceara.",431600,service - negative,22,service,service,Negative,manual,"O pereche de shiuri pe care am dus-o pentru reparat talpa, ascutit canturi, ceruit, mi-a fost returnata fara a fi fost remediate zgarieturile, doar acoperite partial cu ceara."
Calitatea serviciilor oferite la Atelier este foarte slaba.Pe partea service biciclete nu exista personal instruit si pregatit.,431604,"{'choices': ['service - negative', 'staff competency - negative']}",22,service; staff competency,service; staff competency,Negative; Negative,manual,Calitatea serviciilor oferite la Atelier este foarte slaba.Pe partea service biciclete nu exista personal instruit si pregatit.
"Comanda nu era gata la ora stabilita, lipseau medalii si snururi, stikurile nu erau lipite pe medalii si cupe am stat aproape o ora si am plecat cu lipsuri la comnda.",431606,"{'choices': ['service - negative', 'staff competency - negative']}",22,service; staff competency,service; staff competency,Negative; Negative,manual,"Comanda nu era gata la ora stabilita, lipseau medalii si snururi, stikurile nu erau lipite pe medalii si cupe am stat aproape o ora si am plecat cu lipsuri la comnda."
"Nu imi place faptul ca desi exista multe case sunt maxim 2 deschise, cateodata ne grabim si e neplacuta situatia.",431611,service - negative,22,service,service,Negative,manual,"Nu imi place faptul ca desi exista multe case sunt maxim 2 deschise, cateodata ne grabim si e neplacuta situatia."
"Rafturi goale, nu erau reduceri nici la produsele de extrasezon la care mai erau cateva produse, de obicei numere mici.",431616,"{'choices': ['promotions - negative', 'shop diversity - negative']}",22,promotions; shop diversity,promotions; shop diversity,Negative; Negative,manual,"Rafturi goale, nu erau reduceri nici la produsele de extrasezon la care mai erau cateva produse, de obicei numere mici."
"Magazinul este mare, dar este si foarte aglomerat,fiind foarte mare durata de așteptare  la case",431619,"{'choices': ['environment - negative', 'service - negative', 'shop organization - positive']}",22,environment; service; shop organization,environment; service; shop organization,Negative; Negative; Positive,manual,"Magazinul este mare, dar este si foarte aglomerat,fiind foarte mare durata de așteptare la case"
"Buna ziua, Sunt dezamagit de comanda ATPUDWKHP , care nu mai soseste. Am fost de doua ori la Decathlon Ploiesti sa aflu ce s-a intamplat cu aceasta comanda(20.04.2016) si nici pana acum nu s-a solutionat. Personalul de la Ploiesti a incercat sa rezolve dar problema e la centru.... Probabil nu o sa mai comand online, desi asa pot comanda mai multe produse. Acum doua luni am incercat sa comand un cutit de vanatoare, dar din nou.....",431620,"{'choices': ['delivery - negative', 'staff competency - positive']}",22,delivery; staff competency,delivery; staff competency,Negative; Positive,manual,"Buna ziua, Sunt dezamagit de comanda ATPUDWKHP , care nu mai soseste. Am fost de doua ori la Decathlon Ploiesti sa aflu ce s-a intamplat cu aceasta comanda(20.04.2016) si nici pana acum nu s-a solutionat. Personalul de la Ploiesti a incercat sa rezolve dar problema e la centru.... Probabil nu o sa mai comand online, desi asa pot comanda mai multe produse. Acum doua luni am incercat sa comand un cutit de vanatoare, dar din nou....."
"Buna ziua,- Am avut o comanda onlne cu ridicare din magazin pentru care am dorit sa fac un retur- Sistemul nu permitea lucratirului de la casa sa faca operatiunea necesara , motiv pentru care s-a format coada la casa, coada ce a trebuit mutata la o alta casa.- s-au dat telefoane peste telefoane, pentru a gasi o solutie pentru rezolvarea problemei- Toate aceste lucruri au durat , motiv pentru care am pierdut timp in magazin, in situatia in care in alte parti, un retur dureaza 2 minute...- Din acest motiv, nu pot spune ca vizita a fost una satisfacatoare.",431625,"{'choices': ['return warranty - negative', 'service - negative', 'staff competency - negative', 'tech support - negative']}",22,return warranty; service; staff competency; tech support,return warranty; service; staff competency; tech support,Negative; Negative; Negative; Negative,manual,"Buna ziua,- Am avut o comanda onlne cu ridicare din magazin pentru care am dorit sa fac un retur- Sistemul nu permitea lucratirului de la casa sa faca operatiunea necesara , motiv pentru care s-a format coada la casa, coada ce a trebuit mutata la o alta casa.- s-au dat telefoane peste telefoane, pentru a gasi o solutie pentru rezolvarea problemei- Toate aceste lucruri au durat , motiv pentru care am pierdut timp in magazin, in situatia in care in alte parti, un retur dureaza 2 minute...- Din acest motiv, nu pot spune ca vizita a fost una satisfacatoare."
"Bicicleta a venit dupa 8 zile , a fost si in statusul de reglare , reglajele sunt mediocre (frana de spate este prea stransa si nu lasa roata sa se invarta liber iar la cea de fata sabotul atinge in cauciuc la fel roata nu se invarte liber) ceea ce e destul de important mai ales cand e vb de un copil. In rest nimic de comentat, bbicicleta arata f bine, este impachetata in ditamai cutia si este protejata bine pentru transport.",431628,"{'choices': ['product - positive', 'service - negative', 'staff competency - negative']}",22,product; service; staff competency,product; service; staff competency,Positive; Negative; Negative,manual,"Bicicleta a venit dupa 8 zile , a fost si in statusul de reglare , reglajele sunt mediocre (frana de spate este prea stransa si nu lasa roata sa se invarta liber iar la cea de fata sabotul atinge in cauciuc la fel roata nu se invarte liber) ceea ce e destul de important mai ales cand e vb de un copil. In rest nimic de comentat, bbicicleta arata f bine, este impachetata in ditamai cutia si este protejata bine pentru transport."
"Am comandat o bicicleta pt copii Btwin Runride 520 fara pedale si am primit-o cu o piesa de imbinare prinsa in alt loc decat acolo unde trebuia sa fie fixata, adica pe bara cu roata din fata, dar trebuia pe bara cu ghidonul, iar pb a fost ca avea surubul strans care mergea in gol si care ar trebui schimbat, a fost mai dificil dar cu un cleste care sa tina contra, doi oameni, am reusit. Initial am vrut sa trimit inapoi bicicleta sa o schimbati, dar asta e. Am incercat sa va sun, dar am asteptat 20 min sa raspunda un operator de la magazinul online decathlon si am renuntat. Pacat ca s-a intamplat sa fie o pb cu surubul si cu piesa de imbinare, pt ca bicicleta e foarte buna si e pe placul baietelului meu. Suntem multumiti de bicicleta.",431629,"{'choices': ['product - positive', 'product - negative', 'service - negative', 'staff competency - negative']}",22,product; product; service; staff competency,product; service; staff competency,Positive; Negative; Negative; Negative,manual,"Am comandat o bicicleta pt copii Btwin Runride 520 fara pedale si am primit-o cu o piesa de imbinare prinsa in alt loc decat acolo unde trebuia sa fie fixata, adica pe bara cu roata din fata, dar trebuia pe bara cu ghidonul, iar pb a fost ca avea surubul strans care mergea in gol si care ar trebui schimbat, a fost mai dificil dar cu un cleste care sa tina contra, doi oameni, am reusit. Initial am vrut sa trimit inapoi bicicleta sa o schimbati, dar asta e. Am incercat sa va sun, dar am asteptat 20 min sa raspunda un operator de la magazinul online decathlon si am renuntat. Pacat ca s-a intamplat sa fie o pb cu surubul si cu piesa de imbinare, pt ca bicicleta e foarte buna si e pe placul baietelului meu. Suntem multumiti de bicicleta."
Personalul la case lipsea in conditiile in care magazinul nu era deloc aglomerat. Am stat mai mult de 5 minute ca sa pot plati produsele,431631,"{'choices': ['service - negative', 'staff availability - negative']}",22,service; staff availability,service; staff availability,Negative; Negative,manual,Personalul la case lipsea in conditiile in care magazinul nu era deloc aglomerat. Am stat mai mult de 5 minute ca sa pot plati produsele
"Prețuri bune, personal amabil, varietate slaba la unele produse, multi clienti doar vin cu copiii pentru a se juca în magazin fara a cumpara ceva.",431632,"{'choices': ['environment - negative', 'price - positive', 'shop diversity - negative', 'staff competency - positive']}",22,environment; price; shop diversity; staff competency,environment; price; shop diversity; staff competency,Negative; Positive; Negative; Positive,manual,"Prețuri bune, personal amabil, varietate slaba la unele produse, multi clienti doar vin cu copiii pentru a se juca în magazin fara a cumpara ceva."
"2 perechi de schiuri ascutite dezamagitor, pacat de utilajele de ascutit din magazin, nu mai revin pt astfel de servicii",431633,service - negative,22,service,service,Negative,manual,"2 perechi de schiuri ascutite dezamagitor, pacat de utilajele de ascutit din magazin, nu mai revin pt astfel de servicii"
"Ok, doar că persoana care a reglat bicicleta nu a făcut o treabă bună și a trebuit să mă întorc.",431634,"{'choices': ['staff competency - negative', 'service - negative']}",22,staff competency; service,staff competency; service,Negative; Negative,manual,"Ok, doar că persoana care a reglat bicicleta nu a făcut o treabă bună și a trebuit să mă întorc."
"Buna ziua, am achizitionat de curand de la decthlon Brasov acest model. La nici un km de mers am simtit dureri in spate si picioare. Vreau sa il schimb cu modelul 9. Care este mult mai confortabil fiind mai aproape de pamant. Eu am mers multa vreme cu modelul de copii care este mai aproape de pamant. Va spun din experienta ca a fost cred gresit conceptul. L am dat cunostintelor sa l probeze si aceleasi plangeri le am primit. E greu si inalt. La un km nu mai poti da din picior de durere. Nu recomand. In schimb am probat modelul town 9 si e altceva. O sa scriu si celor responsabili de relatii clienti. Poate reusesc sa il dau inapoi. Cand l am luat nu aveau la proba modelul asta din pacate. Acum nu vor sa mi l schimbe ca l am murdarit pe afara .",431637,"{'choices': ['product - negative', 'return warranty - negative', 'shop diversity - negative', 'product - positive']}",22,product; return warranty; shop diversity; product,product; return warranty; shop diversity,Negative; Negative; Negative; Positive,manual,"Buna ziua, am achizitionat de curand de la decthlon Brasov acest model. La nici un km de mers am simtit dureri in spate si picioare. Vreau sa il schimb cu modelul 9. Care este mult mai confortabil fiind mai aproape de pamant. Eu am mers multa vreme cu modelul de copii care este mai aproape de pamant. Va spun din experienta ca a fost cred gresit conceptul. L am dat cunostintelor sa l probeze si aceleasi plangeri le am primit. E greu si inalt. La un km nu mai poti da din picior de durere. Nu recomand. In schimb am probat modelul town 9 si e altceva. O sa scriu si celor responsabili de relatii clienti. Poate reusesc sa il dau inapoi. Cand l am luat nu aveau la proba modelul asta din pacate. Acum nu vor sa mi l schimbe ca l am murdarit pe afara ."
"Lipsa produse, personal putin in week-end sau zilele libeere, ccand este foarte aglomerat.",431639,"{'choices': ['staff availability - negative', 'shop diversity - negative']}",22,staff availability; shop diversity,staff availability; shop diversity,Negative; Negative,manual,"Lipsa produse, personal putin in week-end sau zilele libeere, ccand este foarte aglomerat."
Foarte greu am gasit pe cineva sa-mi ofere detalii si recomandări despre un smartwatch. Si cand am gasit toată conversatia a durat 4 secunde.,431640,"{'choices': ['staff availability - negative', 'staff competency - negative']}",22,staff availability; staff competency,staff availability; staff competency,Negative; Negative,manual,Foarte greu am gasit pe cineva sa-mi ofere detalii si recomandări despre un smartwatch. Si cand am gasit toată conversatia a durat 4 secunde.
Timpul prea mare pentru service. Ar trebui sa aiba prioritate sporturile de iarna in perioada iernii.,431642,service - negative,22,service,service,Negative,manual,Timpul prea mare pentru service. Ar trebui sa aiba prioritate sporturile de iarna in perioada iernii.
"Asa cum am spus, preturi mari, reduceri puține și mai mult în bătaie de joc. Nici măcar asa nu găsești toate numerele și o mare vraiște la rafturi.",431643,"{'choices': ['shop organization - negative', 'promotions - negative', 'price - negative', 'shop diversity - negative']}",22,shop organization; promotions; price; shop diversity,shop organization; promotions; price; shop diversity,Negative; Negative; Negative; Negative,manual,"Asa cum am spus, preturi mari, reduceri puține și mai mult în bătaie de joc. Nici măcar asa nu găsești toate numerele și o mare vraiște la rafturi."
"Coada mare la case, nu exista personal in magazin daca vrei ajutor, multe produse  la care nu exista toate masurile (numai cateva masuri la fiecare produs).",431645,"{'choices': ['staff availability - negative', 'shop diversity - negative', 'service - negative']}",22,staff availability; shop diversity; service,staff availability; shop diversity; service,Negative; Negative; Negative,manual,"Coada mare la case, nu exista personal in magazin daca vrei ajutor, multe produse la care nu exista toate masurile (numai cateva masuri la fiecare produs)."
"Personal neinstruit si nu prea amabil , sectiunea fotbal lipsa incaltaminte crampoane ( in Brasov sunt cel putin 5 scoli de fotbal ) si suntem nevoiti sa cumparam de pe net , toaletele sunt  imputite mai rau ca-n gara !!!",431648,"{'choices': ['environment - negative', 'staff competency - negative', 'shop diversity - negative']}",22,environment; staff competency; shop diversity,environment; staff competency; shop diversity,Negative; Negative; Negative,manual,"Personal neinstruit si nu prea amabil , sectiunea fotbal lipsa incaltaminte crampoane ( in Brasov sunt cel putin 5 scoli de fotbal ) si suntem nevoiti sa cumparam de pe net , toaletele sunt imputite mai rau ca-n gara !!!"
